,Type,sigma,EEM^max,Omega_GW^stat,PPM,PPGW,kf,n,eta
0,ini,0.1,0.003930944019999998,2.5337008070666545e-11,0.1935844466015386,0.1839148652565254,600,1152,5e-08
1,ini,0.3,0.004232706700000001,3.003816076938544e-11,0.5496676902228556,0.5415617429153118,600,1152,5e-08
2,ini,0.5,0.004849908869999993,4.088231527163934e-11,0.8016329809338275,0.7731520499831777,600,1152,5e-08
3,ini,0.7,0.005776848910000003,5.720677938999995e-11,0.9430066798775655,0.9066115168464247,600,1152,5e-08
4,ini,1,0.007750198999999997,1.0420840526662485e-10,1.0045293308260967,0.9503231911038439,600,1152,5e-08
5,forc,-0.01,0.014249208499200012,2.6353760962544956e-09,-0.005843124652210506,0.014657434990742183,600,1152,5e-07
6,forc,0.01,0.014250029350149998,2.645208183517101e-09,0.02045298046708241,0.055334573257431796,600,1152,5e-07
7,forc,0.3,0.01689306898840002,3.135486543779762e-09,0.563226487406048,0.5827657375768975,600,1152,5e-07
8,forc,0.5,0.019161346539909984,3.544710167771087e-09,0.8199529793399676,0.7775708405682639,600,1152,5e-07
9,forc,0.7,0.020922015398630475,3.9618976474534275e-09,0.9607596011914791,0.8848587487550913,600,1152,5e-07
10,forc,-1,0.02115901756785879,4.160976961251878e-09,-0.9988086736944689,-0.9118422838279121,600,1152,5e-07
