 -0.885000000000000     
  4.425655-176  4.366090-176  4.271152-176  4.196446-176  4.129863-176  4.036774-176  3.941253-176  3.914401-176
  3.827299-176  3.750667-176  3.696051-176  3.611943-176  3.575584-176  3.479279-176  3.424529-176  3.343918-176
  3.279179-176  3.227087-176  3.167789-176  3.088612-176  3.027904-176  2.991652-176  2.898899-176  2.861845-176
  2.798170-176  2.753870-176  2.688493-176  2.619402-176  2.576467-176  2.525672-176  2.477366-176  2.408052-176
  2.366563-176  2.333297-176  2.263736-176  2.224646-176  2.176376-176  2.137819-176  2.079252-176  2.037437-176
  1.986578-176  1.963145-176  1.914562-176  1.864798-176  1.834345-176  1.792814-176  1.753811-176  1.707699-176
  1.689034-176  1.645372-176  1.618972-176  1.565477-176  1.546105-176  1.506719-176  1.477700-176  1.450584-176
  1.420784-176  1.394601-176  1.364360-176  1.334394-176  1.312405-176  1.285537-176  1.259735-176  1.232542-176
  1.216556-176  1.193262-176  1.169492-176  1.148102-176  1.132874-176  1.110846-176  1.091632-176  1.070453-176
 -0.865000000000000     
  1.324055-168  4.546414-173  1.259209-172  2.447924-172  4.953770-172  7.741031-172  9.953127-172  1.299668-171
  1.695920-171  2.604265-171  2.683334-171  3.174632-171  3.877437-171  4.615996-171  5.315927-171  5.437032-171
  6.941497-171  7.699498-171  8.370410-171  8.633905-171  1.002298-170  1.144587-170  1.151900-170  1.276331-170
  1.347085-170  1.518042-170  1.622803-170  1.678044-170  1.810460-170  1.928871-170  1.972382-170  2.128850-170
  2.191030-170  2.373748-170  2.476915-170  2.537240-170  2.740925-170  2.785891-170  2.924514-170  2.972035-170
  3.198004-170  3.304276-170  3.344046-170  3.495303-170  3.586789-170  3.774441-170  3.781370-170  3.923305-170
  4.064612-170  4.197049-170  4.289777-170  4.363219-170  4.509873-170  4.618639-170  4.691134-170  4.790346-170
  4.890960-170  5.030679-170  5.027835-170  5.143903-170  5.338222-170  5.343256-170  5.476225-170  5.432004-170
  5.620669-170  5.829949-170  5.736549-170  5.909636-170  5.863807-170  6.098609-170  6.025572-170  6.074216-170
  6.209107-170  6.189210-170  6.406318-170  6.283366-170  6.420905-170  6.511357-170  6.461968-170  6.563768-170
  6.552301-170  6.704590-170  6.657426-170  6.694896-170  6.705358-170  6.802101-170  6.814068-170  6.740300-170
  6.808892-170  6.847956-170  6.898681-170  6.844737-170  6.926142-170  6.871315-170  6.884046-170  6.869198-170
  6.878682-170  6.905471-170  6.985704-170  6.842121-170  6.901894-170  6.880375-170  6.863822-170  6.898433-170
  6.705194-170  6.928518-170  6.777528-170  6.761409-170  6.752756-170  6.775876-170  6.692233-170  6.606673-170
  6.652195-170  6.605733-170  6.606200-170  6.523227-170  6.558713-170  6.514373-170  6.405237-170  6.357921-170
  6.393735-170  6.337988-170  6.259364-170  6.226672-170  6.161867-170  6.191781-170  6.064943-170  6.044649-170
  5.984798-170  5.994562-170  5.930675-170  5.804506-170  5.844099-170  5.720428-170  5.713999-170  5.608436-170
  5.613446-170  5.580589-170  5.466471-170  5.401397-170  5.379549-170  5.331853-170  5.299679-170  5.162196-170
  5.150369-170  5.107865-170  5.040261-170  4.987701-170  4.921364-170  4.888708-170  4.816675-170  4.729741-170
  4.673553-170  4.647641-170  4.607458-170  4.490078-170  4.480918-170  4.431777-170  4.343993-170  4.285112-170
  4.246329-170  4.223981-170  4.107740-170  4.079103-170  3.995179-170  3.991086-170  3.869170-170  3.852445-170
  3.785107-170  3.720592-170  3.714223-170  3.612764-170  3.569154-170  3.515389-170  3.479424-170  3.391551-170
  3.360306-170  3.305109-170  3.262722-170  3.194001-170  3.146783-170  3.105260-170  3.033807-170  3.004319-170
  2.945824-170  2.907415-170  2.845520-170  2.796698-170  2.753937-170  2.693256-170  2.630821-170  2.613796-170
  2.556710-170  2.506569-170  2.470994-170  2.415632-170  2.392132-170  2.329018-170  2.292867-170  2.239654-170
  2.197335-170  2.163008-170  2.123774-170  2.071553-170  2.031443-170  2.007669-170  1.945779-170  1.921547-170
  1.879258-170  1.849740-170  1.806361-170  1.760426-170  1.731355-170  1.698030-170  1.665574-170  1.619313-170
  1.591538-170  1.569285-170  1.522802-170  1.496423-170  1.464256-170  1.438572-170  1.398895-170  1.370842-170
  1.336740-170  1.321033-170  1.288429-170  1.254641-170  1.234280-170  1.206214-170  1.180106-170  1.148960-170
  1.136309-170  1.106792-170  1.089127-170  1.052854-170  1.039860-170  1.013079-170  9.931371-171  9.751431-171
  9.548418-171  9.370709-171  9.165895-171  8.963506-171  8.812469-171  8.633274-171  8.456659-171  8.272430-171
  8.164723-171  8.006539-171  7.844997-171  7.699509-171  7.595572-171  7.446988-171  7.316308-171  7.172683-171
 -0.855000000000000     
  3.041802-163  1.058854-167  2.864568-167  5.678189-167  1.143380-166  1.791265-166  2.301904-166  3.002432-166
  3.931680-166  6.014720-166  6.209208-166  7.338013-166  8.959033-166  1.066511-165  1.230346-165  1.257651-165
  1.606942-165  1.782520-165  1.938599-165  1.999491-165  2.320136-165  2.649527-165  2.662479-165  2.956024-165
  3.116228-165  3.512681-165  3.757153-165  3.884805-165  4.185923-165  4.461607-165  4.562791-165  4.925072-165
  5.064991-165  5.490151-165  5.727103-165  5.865792-165  6.333144-165  6.439976-165  6.759000-165  6.863205-165
  7.382052-165  7.623914-165  7.714797-165  8.065079-165  8.274495-165  8.698844-165  8.719772-165  9.037716-165
  9.364754-165  9.663248-165  9.874462-165  1.004327-164  1.037497-164  1.061981-164  1.078297-164  1.100704-164
  1.123607-164  1.155146-164  1.153980-164  1.180486-164  1.224621-164  1.225076-164  1.255229-164  1.244928-164
  1.287803-164  1.334723-164  1.312962-164  1.351985-164  1.341221-164  1.394392-164  1.377140-164  1.387703-164
  1.418093-164  1.413155-164  1.462465-164  1.433690-164  1.464545-164  1.484907-164  1.472422-164  1.495766-164
  1.492841-164  1.526620-164  1.515667-164  1.523766-164  1.525945-164  1.547687-164  1.549820-164  1.532829-164
  1.547937-164  1.557189-164  1.567840-164  1.555408-164  1.573438-164  1.561050-164  1.563583-164  1.560027-164
