#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  110   1.0108  9.74E-05 4.332E-07 4.616E-04 1.489E-12 8.860E-09 9.308E-04 7.801E-01 3.038E-02 4.199E-03 8.338E-02 1.623E-01 8.93E-12 -3.58E-06  5.83E-04  6.49E-04  7.61E-07
  115   1.0112  9.73E-05 5.060E-07 4.853E-04 1.631E-12 9.612E-09 1.006E-03 8.524E-01 3.115E-02 4.629E-03 8.878E-02 1.713E-01 9.79E-12 -4.00E-06  6.89E-04  7.62E-04  1.06E-06
  120   1.0117  9.72E-05 5.880E-07 5.072E-04 1.805E-12 1.039E-08 1.084E-03 9.277E-01 3.185E-02 4.943E-03 9.440E-02 1.806E-01 1.08E-11 -3.59E-06  8.09E-04  8.91E-04  1.45E-06
  125   1.0122  9.71E-05 6.815E-07 5.303E-04 2.005E-12 1.121E-08 1.167E-03 1.006E+00 3.257E-02 5.091E-03 9.521E-02 1.940E-01 1.20E-11 -2.91E-06  9.41E-04  1.04E-03  1.96E-06
  130   1.0127  9.70E-05 7.871E-07 5.506E-04 2.206E-12 1.208E-08 1.255E-03 1.087E+00 3.318E-02 5.376E-03 9.481E-02 2.109E-01 1.32E-11 -1.84E-06  1.09E-03  1.20E-03  2.63E-06
  135   1.0132  9.70E-05 9.048E-07 5.676E-04 2.388E-12 1.299E-08 1.345E-03 1.172E+00 3.369E-02 5.934E-03 9.835E-02 2.294E-01 1.43E-11 -5.59E-07  1.25E-03  1.38E-03  3.49E-06
  140   1.0137  9.69E-05 1.035E-06 5.868E-04 2.579E-12 1.395E-08 1.439E-03 1.259E+00 3.426E-02 6.416E-03 1.017E-01 2.486E-01 1.55E-11  7.28E-07  1.43E-03  1.59E-03  4.57E-06
  145   1.0142  9.68E-05 1.179E-06 6.121E-04 2.791E-12 1.494E-08 1.536E-03 1.350E+00 3.499E-02 6.905E-03 9.654E-02 2.654E-01 1.67E-11  2.53E-06  1.63E-03  1.82E-03  5.95E-06
  150   1.0146  9.68E-05 1.335E-06 6.280E-04 3.020E-12 1.597E-08 1.634E-03 1.442E+00 3.544E-02 7.292E-03 1.029E-01 2.798E-01 1.81E-11  5.11E-06  1.84E-03  2.06E-03  7.66E-06
  155   1.0151  9.68E-05 1.506E-06 6.519E-04 3.261E-12 1.703E-08 1.736E-03 1.536E+00 3.611E-02 7.556E-03 1.069E-01 2.972E-01 1.96E-11  8.35E-06  2.08E-03  2.33E-03  9.75E-06
  160   1.0156  9.67E-05 1.695E-06 6.625E-04 3.491E-12 1.811E-08 1.841E-03 1.634E+00 3.640E-02 7.699E-03 1.122E-01 3.200E-01 2.09E-11  1.22E-05  2.33E-03  2.63E-03  1.23E-05
  165   1.0161  9.67E-05 1.899E-06 6.848E-04 3.692E-12 1.922E-08 1.949E-03 1.733E+00 3.701E-02 7.777E-03 1.150E-01 3.456E-01 2.21E-11  1.52E-05  2.61E-03  2.95E-03  1.55E-05
