#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms---
  125   1.0111  8.53E-05 5.514E-04 0.000E+00 4.512E-12 1.500E-08 3.322E-02 2.130E+01 0.000E+00 9.868E-02 0.000E+00 1.139E-01 2.71E-11  5.64E-01  7.69E-01
  130   1.0116  8.51E-05 5.719E-04 0.000E+00 4.887E-12 1.604E-08 3.383E-02 2.170E+01 0.000E+00 9.728E-02 0.000E+00 1.233E-01 2.93E-11  5.85E-01  7.95E-01
  135   1.0120  8.50E-05 5.834E-04 0.000E+00 5.306E-12 1.710E-08 3.417E-02 2.188E+01 0.000E+00 9.697E-02 0.000E+00 1.319E-01 3.18E-11  5.94E-01  8.10E-01
  140   1.0124  8.52E-05 6.050E-04 0.000E+00 5.699E-12 1.819E-08 3.480E-02 2.226E+01 0.000E+00 9.339E-02 0.000E+00 1.392E-01 3.42E-11  6.16E-01  8.38E-01
  145   1.0128  8.52E-05 6.182E-04 0.000E+00 6.114E-12 1.931E-08 3.518E-02 2.250E+01 0.000E+00 9.451E-02 0.000E+00 1.462E-01 3.67E-11  6.29E-01  8.59E-01
  150   1.0133  8.49E-05 6.385E-04 0.000E+00 6.560E-12 2.045E-08 3.575E-02 2.282E+01 0.000E+00 9.797E-02 0.000E+00 1.532E-01 3.94E-11  6.48E-01  8.83E-01
  155   1.0137  8.47E-05 6.531E-04 0.000E+00 7.027E-12 2.162E-08 3.616E-02 2.318E+01 0.000E+00 9.706E-02 0.000E+00 1.613E-01 4.22E-11  6.62E-01  9.04E-01
  160   1.0141  8.49E-05 6.715E-04 0.000E+00 7.464E-12 2.280E-08 3.666E-02 2.350E+01 0.000E+00 9.766E-02 0.000E+00 1.711E-01 4.48E-11  6.77E-01  9.24E-01
  165   1.0145  8.45E-05 6.919E-04 0.000E+00 7.860E-12 2.401E-08 3.722E-02 2.391E+01 0.000E+00 1.014E-01 0.000E+00 1.826E-01 4.72E-11  6.99E-01  9.58E-01
  170   1.0150  8.36E-05 7.200E-04 0.000E+00 8.249E-12 2.522E-08 3.797E-02 2.435E+01 0.000E+00 1.052E-01 0.000E+00 1.959E-01 4.95E-11  7.28E-01  9.96E-01
  175   1.0154  8.42E-05 7.479E-04 0.000E+00 8.630E-12 2.645E-08 3.869E-02 2.488E+01 0.000E+00 1.076E-01 0.000E+00 2.100E-01 5.18E-11  7.61E-01  1.03E+00
  180   1.0158  8.43E-05 7.646E-04 0.000E+00 9.065E-12 2.771E-08 3.913E-02 2.523E+01 0.000E+00 1.115E-01 0.000E+00 2.237E-01 5.44E-11  7.79E-01  1.06E+00
  185   1.0162  8.34E-05 8.045E-04 0.000E+00 9.619E-12 2.897E-08 4.014E-02 2.594E+01 0.000E+00 1.179E-01 0.000E+00 2.378E-01 5.77E-11  8.21E-01  1.11E+00
  190   1.0166  8.31E-05 8.359E-04 0.000E+00 1.034E-11 3.024E-08 4.091E-02 2.647E+01 0.000E+00 1.204E-01 0.000E+00 2.533E-01 6.20E-11  8.62E-01  1.16E+00
  195   1.0171  8.33E-05 8.625E-04 0.000E+00 1.110E-11 3.155E-08 4.156E-02 2.680E+01 0.000E+00 1.216E-01 0.000E+00 2.704E-01 6.66E-11  8.88E-01  1.20E+00
  200   1.0175  8.33E-05 8.681E-04 0.000E+00 1.177E-11 3.290E-08 4.169E-02 2.686E+01 0.000E+00 1.195E-01 0.000E+00 2.880E-01 7.06E-11  8.90E-01  1.21E+00
  205   1.0179  8.27E-05 8.907E-04 0.000E+00 1.234E-11 3.429E-08 4.224E-02 2.718E+01 0.000E+00 1.268E-01 0.000E+00 3.047E-01 7.40E-11  9.16E-01  1.24E+00
  210   1.0183  8.31E-05 9.117E-04 0.000E+00 1.289E-11 3.571E-08 4.273E-02 2.747E+01 0.000E+00 1.232E-01 0.000E+00 3.188E-01 7.73E-11  9.38E-01  1.26E+00
  215   1.0187  8.26E-05 9.317E-04 0.000E+00 1.354E-11 3.715E-08 4.320E-02 2.778E+01 0.000E+00 1.217E-01 0.000E+00 3.300E-01 8.12E-11  9.58E-01  1.29E+00
  220   1.0191  8.22E-05 9.439E-04 0.000E+00 1.433E-11 3.861E-08 4.348E-02 2.789E+01 0.000E+00 1.234E-01 0.000E+00 3.391E-01 8.60E-11  9.68E-01  1.31E+00
  225   1.0195  8.19E-05 9.636E-04 0.000E+00 1.518E-11 4.009E-08 4.393E-02 2.820E+01 0.000E+00 1.228E-01 0.000E+00 3.469E-01 9.11E-11  9.89E-01  1.34E+00
  230   1.0200  8.20E-05 9.726E-04 0.000E+00 1.599E-11 4.160E-08 4.414E-02 2.833E+01 0.000E+00 1.282E-01 0.000E+00 3.543E-01 9.59E-11  9.93E-01  1.35E+00
  235   1.0204  8.22E-05 9.921E-04 0.000E+00 1.673E-11 4.315E-08 4.458E-02 2.853E+01 0.000E+00 1.291E-01 0.000E+00 3.630E-01 1.00E-10  1.01E+00  1.37E+00
  240   1.0208  8.12E-05 1.024E-03 0.000E+00 1.742E-11 4.473E-08 4.528E-02 2.904E+01 0.000E+00 1.315E-01 0.000E+00 3.740E-01 1.05E-10  1.05E+00  1.42E+00
  245   1.0212  8.08E-05 1.046E-03 0.000E+00 1.811E-11 4.633E-08 4.577E-02 2.935E+01 0.000E+00 1.352E-01 0.000E+00 3.896E-01 1.09E-10  1.07E+00  1.46E+00
  250   1.0216  8.06E-05 1.065E-03 0.000E+00 1.875E-11 4.796E-08 4.619E-02 2.960E+01 0.000E+00 1.309E-01 0.000E+00 4.074E-01 1.13E-10  1.09E+00  1.48E+00
  255   1.0220  8.06E-05 1.079E-03 0.000E+00 1.940E-11 4.961E-08 4.648E-02 2.981E+01 0.000E+00 1.311E-01 0.000E+00 4.266E-01 1.16E-10  1.10E+00  1.50E+00
  260   1.0224  8.07E-05 1.098E-03 0.000E+00 1.999E-11 5.128E-08 4.690E-02 3.006E+01 0.000E+00 1.311E-01 0.000E+00 4.472E-01 1.20E-10  1.12E+00  1.52E+00
  265   1.0228  8.04E-05 1.111E-03 0.000E+00 2.053E-11 5.295E-08 4.719E-02 3.021E+01 0.000E+00 1.343E-01 0.000E+00 4.672E-01 1.23E-10  1.13E+00  1.53E+00
  270   1.0232  8.03E-05 1.130E-03 0.000E+00 2.109E-11 5.461E-08 4.757E-02 3.044E+01 0.000E+00 1.325E-01 0.000E+00 4.867E-01 1.27E-10  1.15E+00  1.55E+00
  275   1.0236  7.97E-05 1.145E-03 0.000E+00 2.171E-11 5.625E-08 4.790E-02 3.064E+01 0.000E+00 1.365E-01 0.000E+00 5.062E-01 1.30E-10  1.16E+00  1.57E+00
  280   1.0240  7.98E-05 1.168E-03 0.000E+00 2.253E-11 5.787E-08 4.838E-02 3.096E+01 0.000E+00 1.362E-01 0.000E+00 5.260E-01 1.35E-10  1.19E+00  1.60E+00
  285   1.0244  7.89E-05 1.195E-03 0.000E+00 2.354E-11 5.947E-08 4.894E-02 3.129E+01 0.000E+00 1.436E-01 0.000E+00 5.479E-01 1.41E-10  1.21E+00  1.64E+00
  290   1.0248  7.92E-05 1.206E-03 0.000E+00 2.455E-11 6.108E-08 4.915E-02 3.144E+01 0.000E+00 1.399E-01 0.000E+00 5.713E-01 1.47E-10  1.22E+00  1.65E+00
  295   1.0252  7.87E-05 1.220E-03 0.000E+00 2.539E-11 6.269E-08 4.944E-02 3.162E+01 0.000E+00 1.446E-01 0.000E+00 5.965E-01 1.52E-10  1.23E+00  1.67E+00
  300   1.0256  7.89E-05 1.230E-03 0.000E+00 2.611E-11 6.430E-08 4.964E-02 3.181E+01 0.000E+00 1.434E-01 0.000E+00 6.240E-01 1.57E-10  1.25E+00  1.69E+00
  305   1.0260  7.93E-05 1.250E-03 0.000E+00 2.675E-11 6.593E-08 5.005E-02 3.206E+01 0.000E+00 1.398E-01 0.000E+00 6.531E-01 1.61E-10  1.27E+00  1.73E+00
  310   1.0264  7.90E-05 1.274E-03 0.000E+00 2.733E-11 6.754E-08 5.053E-02 3.237E+01 0.000E+00 1.436E-01 0.000E+00 6.827E-01 1.64E-10  1.29E+00  1.76E+00
  315   1.0268  7.95E-05 1.282E-03 0.000E+00 2.789E-11 6.914E-08 5.069E-02 3.248E+01 0.000E+00 1.410E-01 0.000E+00 7.089E-01 1.67E-10  1.30E+00  1.78E+00
  320   1.0272  7.93E-05 1.301E-03 0.000E+00 2.840E-11 7.073E-08 5.106E-02 3.272E+01 0.000E+00 1.439E-01 0.000E+00 7.277E-01 1.70E-10  1.32E+00  1.80E+00
  325   1.0276  7.95E-05 1.315E-03 0.000E+00 2.896E-11 7.228E-08 5.134E-02 3.292E+01 0.000E+00 1.428E-01 0.000E+00 7.416E-01 1.74E-10  1.33E+00  1.81E+00
  330   1.0280  7.97E-05 1.321E-03 0.000E+00 2.961E-11 7.379E-08 5.146E-02 3.301E+01 0.000E+00 1.399E-01 0.000E+00 7.518E-01 1.78E-10  1.34E+00  1.83E+00
  335   1.0283  7.96E-05 1.354E-03 0.000E+00 3.042E-11 7.526E-08 5.209E-02 3.341E+01 0.000E+00 1.410E-01 0.000E+00 7.621E-01 1.83E-10  1.38E+00  1.87E+00
  340   1.0287  7.91E-05 1.374E-03 0.000E+00 3.126E-11 7.668E-08 5.248E-02 3.361E+01 0.000E+00 1.450E-01 0.000E+00 7.750E-01 1.88E-10  1.39E+00  1.90E+00
  345   1.0291  7.95E-05 1.393E-03 0.000E+00 3.210E-11 7.806E-08 5.285E-02 3.389E+01 0.000E+00 1.432E-01 0.000E+00 7.904E-01 1.93E-10  1.42E+00  1.92E+00
  350   1.0295  7.94E-05 1.415E-03 0.000E+00 3.291E-11 7.941E-08 5.326E-02 3.408E+01 0.000E+00 1.428E-01 0.000E+00 8.091E-01 1.97E-10  1.43E+00  1.95E+00
  355   1.0299  7.91E-05 1.433E-03 0.000E+00 3.367E-11 8.075E-08 5.360E-02 3.430E+01 0.000E+00 1.445E-01 0.000E+00 8.329E-01 2.02E-10  1.45E+00  1.97E+00
  360   1.0303  7.89E-05 1.455E-03 0.000E+00 3.434E-11 8.206E-08 5.401E-02 3.457E+01 0.000E+00 1.473E-01 0.000E+00 8.596E-01 2.06E-10  1.47E+00  2.01E+00
  365   1.0307  7.85E-05 1.475E-03 0.000E+00 3.490E-11 8.336E-08 5.438E-02 3.476E+01 0.000E+00 1.510E-01 0.000E+00 8.883E-01 2.09E-10  1.49E+00  2.04E+00
  370   1.0311  7.86E-05 1.494E-03 0.000E+00 3.561E-11 8.463E-08 5.474E-02 3.504E+01 0.000E+00 1.498E-01 0.000E+00 9.176E-01 2.14E-10  1.52E+00  2.06E+00
  375   1.0315  7.84E-05 1.526E-03 0.000E+00 3.652E-11 8.587E-08 5.531E-02 3.542E+01 0.000E+00 1.536E-01 0.000E+00 9.472E-01 2.19E-10  1.55E+00  2.11E+00
  380   1.0319  7.85E-05 1.545E-03 0.000E+00 3.757E-11 8.709E-08 5.566E-02 3.563E+01 0.000E+00 1.558E-01 0.000E+00 9.757E-01 2.25E-10  1.57E+00  2.13E+00
  385   1.0323  7.82E-05 1.563E-03 0.000E+00 3.858E-11 8.830E-08 5.598E-02 3.584E+01 0.000E+00 1.573E-01 0.000E+00 1.001E+00 2.31E-10  1.59E+00  2.15E+00
  390   1.0327  7.83E-05 1.569E-03 0.000E+00 3.949E-11 8.949E-08 5.610E-02 3.593E+01 0.000E+00 1.560E-01 0.000E+00 1.025E+00 2.37E-10  1.59E+00  2.16E+00
  395   1.0331  7.81E-05 1.581E-03 0.000E+00 4.025E-11 9.066E-08 5.630E-02 3.609E+01 0.000E+00 1.630E-01 0.000E+00 1.048E+00 2.41E-10  1.60E+00  2.17E+00
  400   1.0335  7.78E-05 1.600E-03 0.000E+00 4.090E-11 9.180E-08 5.664E-02 3.633E+01 0.000E+00 1.648E-01 0.000E+00 1.072E+00 2.45E-10  1.62E+00  2.20E+00
  405   1.0339  7.79E-05 1.612E-03 0.000E+00 4.166E-11 9.291E-08 5.686E-02 3.647E+01 0.000E+00 1.620E-01 0.000E+00 1.100E+00 2.50E-10  1.63E+00  2.21E+00
  410   1.0342  7.83E-05 1.614E-03 0.000E+00 4.262E-11 9.399E-08 5.689E-02 3.649E+01 0.000E+00 1.572E-01 0.000E+00 1.128E+00 2.56E-10  1.63E+00  2.22E+00
  415   1.0346  7.84E-05 1.627E-03 0.000E+00 4.377E-11 9.503E-08 5.712E-02 3.665E+01 0.000E+00 1.549E-01 0.000E+00 1.158E+00 2.63E-10  1.64E+00  2.24E+00
  420   1.0350  7.78E-05 1.644E-03 0.000E+00 4.484E-11 9.605E-08 5.742E-02 3.685E+01 0.000E+00 1.606E-01 0.000E+00 1.188E+00 2.69E-10  1.65E+00  2.27E+00
  425   1.0354  7.77E-05 1.661E-03 0.000E+00 4.561E-11 9.703E-08 5.771E-02 3.704E+01 0.000E+00 1.607E-01 0.000E+00 1.217E+00 2.74E-10  1.67E+00  2.29E+00
  430   1.0358  7.79E-05 1.678E-03 0.000E+00 4.607E-11 9.800E-08 5.801E-02 3.721E+01 0.000E+00 1.590E-01 0.000E+00 1.241E+00 2.76E-10  1.69E+00  2.31E+00
  435   1.0362  7.71E-05 1.700E-03 0.000E+00 4.640E-11 9.893E-08 5.839E-02 3.746E+01 0.000E+00 1.669E-01 0.000E+00 1.263E+00 2.78E-10  1.71E+00  2.34E+00
  440   1.0366  7.70E-05 1.709E-03 0.000E+00 4.700E-11 9.983E-08 5.854E-02 3.759E+01 0.000E+00 1.673E-01 0.000E+00 1.283E+00 2.82E-10  1.71E+00  2.35E+00
  445   1.0370  7.71E-05 1.734E-03 0.000E+00 4.800E-11 1.007E-07 5.898E-02 3.791E+01 0.000E+00 1.649E-01 0.000E+00 1.300E+00 2.88E-10  1.74E+00  2.38E+00
  450   1.0374  7.67E-05 1.752E-03 0.000E+00 4.938E-11 1.015E-07 5.928E-02 3.817E+01 0.000E+00 1.697E-01 0.000E+00 1.316E+00 2.96E-10  1.76E+00  2.41E+00
  455   1.0377  7.67E-05 1.767E-03 0.000E+00 5.082E-11 1.023E-07 5.953E-02 3.830E+01 0.000E+00 1.712E-01 0.000E+00 1.334E+00 3.05E-10  1.78E+00  2.43E+00
  460   1.0381  7.69E-05 1.790E-03 0.000E+00 5.200E-11 1.031E-07 5.993E-02 3.858E+01 0.000E+00 1.691E-01 0.000E+00 1.359E+00 3.12E-10  1.80E+00  2.47E+00
  465   1.0385  7.69E-05 1.802E-03 0.000E+00 5.277E-11 1.038E-07 6.013E-02 3.871E+01 0.000E+00 1.700E-01 0.000E+00 1.390E+00 3.17E-10  1.81E+00  2.48E+00
  470   1.0389  7.71E-05 1.815E-03 0.000E+00 5.333E-11 1.045E-07 6.034E-02 3.890E+01 0.000E+00 1.711E-01 0.000E+00 1.426E+00 3.20E-10  1.83E+00  2.50E+00
  475   1.0393  7.72E-05 1.833E-03 0.000E+00 5.416E-11 1.052E-07 6.064E-02 3.899E+01 0.000E+00 1.695E-01 0.000E+00 1.464E+00 3.25E-10  1.83E+00  2.50E+00
  480   1.0397  7.68E-05 1.856E-03 0.000E+00 5.557E-11 1.058E-07 6.102E-02 3.923E+01 0.000E+00 1.747E-01 0.000E+00 1.503E+00 3.33E-10  1.85E+00  2.54E+00
  485   1.0400  7.63E-05 1.855E-03 0.000E+00 5.743E-11 1.064E-07 6.100E-02 3.924E+01 0.000E+00 1.790E-01 0.000E+00 1.537E+00 3.45E-10  1.85E+00  2.53E+00
