 -0.885000000000000     
  1.732516-128  1.725468-128  1.709735-128  1.703125-128  1.690570-128  1.683255-128  1.665147-128  1.672008-128
  1.665136-128  1.654466-128  1.656516-128  1.644919-128  1.646231-128  1.635455-128  1.638485-128  1.634686-128
  1.629703-128  1.632394-128  1.636339-128  1.625276-128  1.631522-128  1.641536-128  1.626199-128  1.640921-128
  1.642199-128  1.651768-128  1.645763-128  1.644987-128  1.650203-128  1.655461-128  1.665353-128  1.658807-128
  1.669967-128  1.682291-128  1.676341-128  1.691429-128  1.691178-128  1.711256-128  1.704804-128  1.716394-128
  1.714416-128  1.736918-128  1.739519-128  1.738523-128  1.753231-128  1.767844-128  1.768217-128  1.764870-128
  1.789057-128  1.794131-128  1.808126-128  1.794834-128  1.822909-128  1.824329-128  1.832409-128  1.844385-128
  1.851653-128  1.864679-128  1.870869-128  1.879273-128  1.893107-128  1.898090-128  1.904446-128  1.909538-128
  1.923344-128  1.931764-128  1.939540-128  1.948450-128  1.964790-128  1.967102-128  1.973421-128  1.979732-128
 -0.865000000000000     
  1.268884-123  3.839767-128  1.560677-127  2.643923-127  5.657951-127  9.671662-127  1.148997-126  1.532104-126
  1.987167-126  2.945139-126  3.187622-126  3.554604-126  4.465615-126  5.269524-126  5.988002-126  6.142064-126
  7.863324-126  8.406379-126  9.488481-126  9.831822-126  1.114750-125  1.250238-125  1.303788-125  1.406630-125
  1.496714-125  1.681907-125  1.758505-125  1.840359-125  1.940567-125  2.043121-125  2.147533-125  2.284936-125
  2.338604-125  2.540035-125  2.651584-125  2.664231-125  2.874524-125  2.903563-125  3.048876-125  3.063604-125
  3.228464-125  3.341571-125  3.374311-125  3.519432-125  3.547993-125  3.747079-125  3.682249-125  3.787156-125
  3.905455-125  4.009584-125  4.069862-125  4.081602-125  4.180734-125  4.251174-125  4.242809-125  4.314171-125
  4.359706-125  4.513578-125  4.460581-125  4.482123-125  4.596322-125  4.590646-125  4.623830-125  4.565513-125
  4.636086-125  4.748386-125  4.647579-125  4.733408-125  4.657418-125  4.741055-125  4.669562-125  4.614110-125
  4.715897-125  4.630173-125  4.697973-125  4.583110-125  4.623660-125  4.610799-125  4.536547-125  4.534015-125
  4.493263-125  4.525526-125  4.451747-125  4.406850-125  4.316609-125  4.371454-125  4.289238-125  4.203107-125
  4.194138-125  4.149470-125  4.105552-125  4.037587-125  3.979531-125  3.924362-125  3.870537-125  3.784924-125
  3.774310-125  3.724925-125  3.704724-125  3.573144-125  3.544766-125  3.479914-125  3.430960-125  3.369373-125
  3.254534-125  3.301091-125  3.180846-125  3.133399-125  3.078852-125  3.046513-125  2.951225-125  2.882768-125
  2.860855-125  2.796091-125  2.747775-125  2.666590-125  2.646757-125  2.600608-125  2.515550-125  2.465039-125
  2.443856-125  2.390911-125  2.341427-125  2.294175-125  2.238457-125  2.230824-125  2.148054-125  2.116370-125
  2.081434-125  2.060952-125  2.006228-125  1.958650-125  1.955958-125  1.900090-125  1.876155-125  1.829956-125
  1.812555-125  1.798280-125  1.748402-125  1.723831-125  1.709717-125  1.684948-125  1.669988-125  1.622341-125
  1.615872-125  1.603699-125  1.583823-125  1.564825-125  1.558539-125  1.541297-125  1.522252-125  1.501560-125
  1.491393-125  1.484917-125  1.485932-125  1.453035-125  1.461111-125  1.453969-125  1.439650-125  1.426631-125
  1.431654-125  1.436724-125  1.413083-125  1.426194-125  1.408828-125  1.423928-125  1.398854-125  1.413079-125
  1.404188-125  1.400597-125  1.412489-125  1.394638-125  1.403031-125  1.396733-125  1.406632-125  1.394798-125
  1.407527-125  1.406741-125  1.409134-125  1.406806-125  1.406599-125  1.418409-125  1.410213-125  1.412043-125
  1.411860-125  1.416341-125  1.416166-125  1.418566-125  1.416867-125  1.420584-125  1.410685-125  1.427351-125
  1.425967-125  1.419308-125  1.427755-125  1.423203-125  1.427516-125  1.423762-125  1.426886-125  1.420781-125
  1.419975-125  1.422606-125  1.424530-125  1.412291-125  1.416527-125  1.424149-125  1.405837-125  1.412772-125
  1.410436-125  1.415573-125  1.404589-125  1.394227-125  1.396564-125  1.386779-125  1.389335-125  1.378154-125
  1.378017-125  1.379118-125  1.362933-125  1.365729-125  1.350025-125  1.359664-125  1.342761-125  1.340968-125
  1.325195-125  1.332613-125  1.320600-125  1.305786-125  1.304206-125  1.303163-125  1.289352-125  1.275488-125
  1.278484-125  1.266558-125  1.264805-125  1.239737-125  1.247117-125  1.229499-125  1.221747-125  1.214370-125
  1.207334-125  1.201188-125  1.191255-125  1.181157-125  1.176626-125  1.163976-125  1.153236-125  1.143971-125
  1.137718-125  1.124914-125  1.116997-125  1.110472-125  1.104507-125  1.091260-125  1.080795-125  1.071792-125
 -0.855000000000000     
  9.707583-121  4.929620-125  2.157751-124  3.711403-124  7.684303-124  1.292256-123  1.525297-123  2.053211-123
  2.645921-123  3.935558-123  4.222360-123  4.697609-123  5.984278-123  7.011875-123  7.881608-123  7.991734-123
  1.028546-122  1.087922-122  1.219592-122  1.259073-122  1.424665-122  1.593021-122  1.650205-122  1.769483-122
  1.871875-122  2.101157-122  2.176083-122  2.275395-122  2.394815-122  2.493061-122  2.616059-122  2.765369-122
