,f,Xi
240,3.0232946844057763e-06,0.00914674202764593
241,3.037263579703312e-06,0.008941285146182476
242,3.0512970171828714e-06,0.008740443299232202
243,3.06539529505653e-06,0.008544112822496275
244,3.0795587129142237e-06,0.008352526960407287
245,3.0937875717301367e-06,0.008165412006229842
246,3.1080821738690634e-06,0.007982488838112207
247,3.122442823092858e-06,0.007803663550837398
248,3.13686982456688e-06,0.007628844342871623
249,3.1513634848664763e-06,0.007457941469237189
250,3.1659241119835212e-06,0.007290995517332587
251,3.18055201533292e-06,0.007128099451850693
252,3.1952475057592136e-06,0.006968842824643916
253,3.210010895543175e-06,0.006813144323061027
254,3.2248424984084387e-06,0.006660924451145308
255,3.2397426295281954e-06,0.006512105489045507
256,3.254711605531848e-06,0.006366611453334362
257,3.269749744511768e-06,0.006224622622519304
258,3.284857366030047e-06,0.006085925731330313
259,3.300034791125282e-06,0.005950319280926645
260,3.3152823423194237e-06,0.005817734410181112
261,3.330600343624588e-06,0.005688103792328701
262,3.345989120549975e-06,0.005561361600777656
263,3.361449000108768e-06,0.0054374434756827945
264,3.376980310825088e-06,0.005316541097667712
265,3.392583382740992e-06,0.005198397666759949
266,3.408258547423452e-06,0.005082879602610432
267,3.4240061379714247e-06,0.0049699285646871314
268,3.439826489022928e-06,0.004859487508893124
269,3.4557199367621362e-06,0.004751500658757482
270,3.47168681892656e-06,0.0046459134772660485
271,3.487727474814178e-06,0.004542845315740267
272,3.503842245290676e-06,0.004442167958898156
273,3.5200314727966828e-06,0.004343721787464359
274,3.5362955013550394e-06,0.004247457354487965
275,3.5526346765781395e-06,0.004153326308848399
276,3.5690493456752295e-06,0.004061281370970184
277,3.5855398574598168e-06,0.0039712763090754555
278,3.602106562357074e-06,0.0038833074662449328
279,3.618749812411277e-06,0.0037974800937100404
280,3.6354699612933173e-06,0.0037135496448517154
281,3.6522673643081764e-06,0.0036314741945902723
282,3.669142378402494e-06,0.0035512127444580588
283,3.686095362172162e-06,0.003472725202119793
284,3.7031266758699232e-06,0.0033959723613456753
285,3.7202366814130653e-06,0.0033209158824268484
286,3.7374257423910637e-06,0.003247605617118471
287,3.754694224073337e-06,0.00317602355244016
288,3.7720424934170023e-06,0.003106019263079332
289,3.7894709190746634e-06,0.0030375579725181417
290,3.8069798714022836e-06,0.00297060567076488
291,3.824569722466999e-06,0.002905129097458817
292,3.842240846055061e-06,0.0028410957253470733
293,3.859993617679771e-06,0.0027784737441258717
294,3.877828414589453e-06,0.002717298860225649
295,3.895745615775502e-06,0.0026575689398412056
296,3.913745601980384e-06,0.00259915196424961
297,3.93182875570577e-06,0.0025420190731406792
298,3.949995461220647e-06,0.0024861420405930664
299,3.968246104569478e-06,0.0024314932611295367
300,3.986581073580439e-06,0.0023780457360786807
301,4.005000757873612e-06,0.0023257730602366327
302,4.023505548869293e-06,0.0022746568789133166
303,4.04209583979631e-06,0.0022247936161169874
304,4.06077202570037e-06,0.002176023417070071
305,4.079534503452449e-06,0.002128322320477375
306,4.098383671757261e-06,0.00208166689030456
307,4.117319931161679e-06,0.0020360342042639026
308,4.136343684063279e-06,0.0019914018425522617
309,4.15545533471888e-06,0.0019477478768360295
310,4.174655289253135e-06,0.0019050508594775158
311,4.193943955667186e-06,0.0018633345317958941
312,4.2133217438472885e-06,0.0018226000159856073
313,4.232789065573553e-06,0.001782756000914711
314,4.252346334528686e-06,0.0017437830192702651
315,4.271993966306777e-06,0.0017056620293159363
316,4.291732378422156e-06,0.001668374405588378
317,4.3115619903182285e-06,0.0016319019297971302
318,4.3314832233764026e-06,0.0015962267819233404
319,4.351496500925053e-06,0.0015613315315131044
320,4.371602248248502e-06,0.001527237047348384
321,4.391800892596086e-06,0.0014939418384715822
322,4.41209286319119e-06,0.001461372496568788
323,4.432478591240401e-06,0.0014295131970549707
324,4.45295850994266e-06,0.0013983484603359887
325,4.473533054498463e-06,0.0013678631442874721
326,4.494202662119142e-06,0.0013380424368976131
327,4.514967772036102e-06,0.0013088718490704783
328,4.535828825510191e-06,0.0012803372075860864
329,4.556786265841069e-06,0.001252431405039187
330,4.577840538376616e-06,0.001225202546813701
331,4.598992090522438e-06,0.0011985656656955158
332,4.620241371751313e-06,0.0011725078916299159
333,4.641588833612781e-06,0.001147016634367432
334,4.663034929742736e-06,0.0011220795773806637
335,4.684580115873045e-06,0.001097684671913361
336,4.706224849841281e-06,0.0010738201311588146
337,4.7279695916003894e-06,0.0010504744245649327
338,4.7498148032285035e-06,0.0010276362722630142
339,4.771760948938751e-06,0.0010053216477789568
340,4.793808495089107e-06,0.0009835256223319799
341,4.815957910192351e-06,0.0009622021488551355
342,4.838209664925957e-06,0.0009413409821151919
343,4.860564232142137e-06,0.0009209320990022083
344,4.883022086877885e-06,0.0009009656937137639
345,4.905583706365046e-06,0.0008814321730436141
346,4.9282495700405124e-06,0.0008623221517724171
347,4.951020159556351e-06,0.0008436264481584972
348,4.9738959587900665e-06,0.000825336079526292
349,4.996877453854889e-06,0.0008074644648038283
350,5.0199651331100785e-06,0.0007900066828855032
351,5.043159487171359e-06,0.0007729263468645339
352,5.066461008921268e-06,0.0007562152961735631
353,5.089870193519685e-06,0.0007398655466807313
354,5.113387538414332e-06,0.0007238692868750709
355,5.137013543351339e-06,0.0007082188741343581
356,5.160748710385908e-06,0.0006929068310736287
357,5.184593543892913e-06,0.0006779258419727086
358,5.208548550577667e-06,0.0006632687492809108
359,5.232614239486667e-06,0.0006489331741329511
360,5.2567911220184196e-06,0.0006349419550045508
361,5.2810797119343315e-06,0.0006212523913015441
362,5.305480525369574e-06,0.0006078579792307487
363,5.329994080844093e-06,0.0005947523552229595
