,f,Omega
0,2.0251233776834887e-07,0.00012019302570504712
1,2.0892142481443226e-07,9.5184360078258e-05
2,2.1332184935106156e-07,7.537926889153123e-05
3,2.2007780298437782e-07,5.831857182325972e-05
4,2.2704279984225387e-07,4.618417672001252e-05
5,2.3183997678622e-07,3.4102438200699095e-05
6,2.3673338366114192e-07,2.5775614169148464e-05
7,2.442466620429298e-07,1.8593873807725022e-05
8,2.5460532921694994e-07,1.3729733373481865e-05
9,2.6268581489374765e-07,9.904281158343645e-06
10,2.682244678841693e-07,7.662631126361534e-06
11,2.738739675984773e-07,6.068260916139289e-06
12,2.8255986548619003e-07,4.480809393505665e-06
13,2.9151491977383707e-07,3.3867259992609705e-06
14,3.007472665184535e-07,2.6202034901374947e-06
15,3.1029889592568804e-07,1.8465646204237928e-06
16,3.201191994993212e-07,1.462348340988722e-06
17,3.2687590088162464e-07,1.105285387408073e-06
18,3.372427521815431e-07,8.161437378591719e-07
19,3.4793838760284913e-07,6.026412801934749e-07
20,3.62686832943805e-07,4.5549379869121025e-07
21,3.7033397792833226e-07,3.524012398189665e-07
22,3.8206254296438616e-07,2.726417663265119e-07
23,3.901266719395028e-07,2.0607057283907764e-07
24,4.024995179805244e-07,1.521626988791195e-07
25,4.110039119051729e-07,1.1235707559399256e-07
26,4.3286705049536867e-07,8.492274401732457e-08
27,4.4660508187217855e-07,6.126111196814343e-08
28,4.6075915413018415e-07,4.630292932050523e-08
29,4.802794503962304e-07,3.582312151489415e-08
30,4.955007506475553e-07,2.707615663924891e-08
31,5.164928923467178e-07,2.094797162249042e-08
32,5.383627118912828e-07,1.6589309255907367e-08
33,5.611707224115461e-07,1.2834627312863213e-08
34,5.910219061143285e-07,9.700784432897072e-09
35,6.160741986701724e-07,7.332134881643453e-09
36,6.62340079788033e-07,5.8065313076430825e-09
37,7.048046169049379e-07,4.388745161447745e-09
38,7.270944376532687e-07,3.5576077081400646e-09
39,7.657386632714922e-07,2.817373230455005e-09
40,8.063668948071926e-07,2.449380069152039e-09
41,8.403469398023414e-07,2.3929014466933363e-09
42,8.665853163105534e-07,2.9519372307317e-09
43,9.121293303562115e-07,4.287548011947515e-09
44,9.700199070216783e-07,6.2274589592809615e-09
45,1.000133721469752e-06,9.25857436639472e-09
46,1.0418726197521198e-06,1.3765036407074022e-08
47,1.0966052233901351e-06,2.0464946307047304e-08
48,1.1306733180377855e-06,2.97243582756142e-08
49,1.1657745425119513e-06,4.41922112032531e-08
50,1.2020436002496569e-06,6.126111196814343e-08
51,1.2522902658058564e-06,8.492274401732457e-08
52,1.3045242275749383e-06,1.2923752463631005e-07
53,1.3450517154139826e-06,1.8771133954162084e-07
54,1.4156498524698573e-06,2.9240614067633446e-07
55,1.459629665927959e-06,4.247059707388529e-07
56,1.52051190884633e-06,6.463280124974886e-07
57,1.5840365570541643e-06,9.171143513682631e-07
58,1.6332476187927098e-06,1.3320648464340371e-06
59,1.7190096272734032e-06,2.0271691099979203e-06
60,1.7906720027545475e-06,3.1578097380810713e-06
61,1.8463425861490345e-06,4.480809393505665e-06
62,1.9037439241712376e-06,6.3580945295106305e-06
63,1.9832364447520115e-06,9.234829005161669e-06
64,2.0450266306979697e-06,1.22181447695434e-05
65,2.108650587337232e-06,1.693730895988489e-05
66,2.1742068746928247e-06,2.403338370039939e-05
67,2.2651891288764084e-06,3.1797379376416845e-05
68,2.3355614707104357e-06,4.618417672001252e-05
69,2.4081722388623557e-06,6.553355333057922e-05
70,2.4831480219768564e-06,8.875063977237232e-05
71,2.560347139864263e-06,0.00012593371145069092
72,2.6400607204622227e-06,0.00017054923611082282
73,2.7222560953578374e-06,0.0002309710529684036
74,2.806888895080318e-06,0.0003277389550383829
75,2.924219753574312e-06,0.00045432559888405704
76,3.0151967746127063e-06,0.0006298053576731011
77,3.141167056904028e-06,0.000893669345784183
78,3.2388936457049353e-06,0.0012388422385742092
79,3.373990317365963e-06,0.0018853006480286792
80,3.478960399628469e-06,0.002613483483804418
81,3.586729947932492e-06,0.004167226508930921
82,3.7751513200609727e-06,0.006195556933706915
83,3.93270090924692e-06,0.00921114454338871
84,4.096736799768403e-06,0.014017746760655309
85,4.267707217927962e-06,0.020840659357440578
86,4.44552382350765e-06,0.03323064740072606
87,4.6789587585817305e-06,0.05057121813275063
88,4.8241103194160625e-06,0.07696052600450899
89,5.025436447715306e-06,0.11441982322945321
90,5.289208053695672e-06,0.17823674909087986
91,5.509944253474096e-06,0.2649906176937515
92,5.6812440842583876e-06,0.3760113963276874
93,5.858377208137867e-06,0.4860109440944904
