,frequency,MA,MT,MAE,DAE
0,1e-06,0.3,1.7098399999999997e-30,-2.7870505059493287e-05,0.2
1,1.0046204213468131e-06,0.3,1.7577920047224283e-30,-2.7870505059493287e-05,0.2
2,1.0092621909870484e-06,0.3,1.807088810570635e-30,-2.7870505059493287e-05,0.2
3,1.0139254075588142e-06,0.3,1.857768132131886e-30,-2.7870505059493287e-05,0.2
4,1.0186101701559753e-06,0.3,1.9098687416890185e-30,-2.7870505059493287e-05,0.2
5,1.0233165783302448e-06,0.3,1.963430498883076e-30,-2.7870505059493287e-05,0.2
6,1.0280447320933098e-06,0.3,2.0184943812080906e-30,-2.7870505059493287e-05,0.2
7,1.0327947319189525e-06,0.3,2.0751025153609272e-30,-2.7870505059493287e-05,0.2
8,1.037566678745185e-06,0.3,2.133298209470356e-30,-2.7870505059493287e-05,0.2
9,1.042360673976401e-06,0.3,2.193125986230092e-30,-2.7870505059493287e-05,0.2
10,1.0471768194855203e-06,0.3,2.2546316169607977e-30,-2.7870505059493287e-05,0.2
11,1.0520152176161592e-06,0.3,2.3178621566275742e-30,-2.7870505059493287e-05,0.2
12,1.056875971184805e-06,0.3,2.3828659798394182e-30,-2.7870505059493287e-05,0.2
13,1.061759183482999e-06,0.3,2.4496928178582514e-30,-2.7870505059493287e-05,0.2
14,1.0666649582795387e-06,0.3,2.5183937966459963e-30,-2.7870505059493287e-05,0.2
15,1.0715933998226711e-06,0.3,2.5890214759783932e-30,-2.7870505059493287e-05,0.2
16,1.0765446128423159e-06,0.3,2.6616298896560378e-30,-2.7870505059493287e-05,0.2
17,1.0815187025522892e-06,0.3,2.7362745868429927e-30,-2.7870505059493287e-05,0.2
18,1.0865157746525372e-06,0.3,2.8130126745647068e-30,-2.7870505059493287e-05,0.2
19,1.0915359353313911e-06,0.3,2.891902861397967e-30,-2.7870505059493287e-05,0.2
20,1.09657929126781e-06,0.3,2.973005502385755e-30,-2.7870505059493287e-05,0.2
21,1.101645949633657e-06,0.3,3.0563826452121052e-30,-2.7870505059493287e-05,0.2
22,1.1067360180959745e-06,0.3,3.142098077671725e-30,-2.7870505059493287e-05,0.2
23,1.1118496048192698e-06,0.3,3.2302173764708986e-30,-2.7870505059493287e-05,0.2
24,1.1169868184678225e-06,0.3,3.320807957397186e-30,-2.7870505059493287e-05,0.2
25,1.1221477682079801e-06,0.3,3.413939126895727e-30,-2.7870505059493287e-05,0.2
26,1.127332563710487e-06,0.3,3.509682135092394e-30,-2.7870505059493287e-05,0.2
27,1.1325413151528126e-06,0.3,3.6081102303037425e-30,-2.7870505059493287e-05,0.2
28,1.1377741332214902e-06,0.3,3.709298715075705e-30,-2.7870505059493287e-05,0.2
29,1.1430311291144787e-06,0.3,3.81332500379407e-30,-2.7870505059493287e-05,0.2
30,1.1483124145435112e-06,0.3,3.9202686819102024e-30,-2.7870505059493287e-05,0.2
31,1.1536181017364786e-06,0.3,4.0302115668281756e-30,-2.7870505059493287e-05,0.2
32,1.1589483034398117e-06,0.3,4.143237770499234e-30,-2.7870505059493287e-05,0.2
33,1.1643031329208755e-06,0.3,4.2594337637717235e-30,-2.7870505059493287e-05,0.2
34,1.1696827039703847e-06,0.3,4.378888442545912e-30,-2.7870505059493287e-05,0.2
35,1.1750871309048075e-06,0.3,4.5016931957836084e-30,-2.7870505059493287e-05,0.2
36,1.1805165285688055e-06,0.3,4.627941975425645e-30,-2.7870505059493287e-05,0.2
37,1.1859710123376706e-06,0.3,4.75773136826985e-30,-2.7870505059493287e-05,0.2
38,1.1914506981197747e-06,0.3,4.891160669864865e-30,-2.7870505059493287e-05,0.2
39,1.1969557023590428e-06,0.3,5.0283319604765704e-30,-2.7870505059493287e-05,0.2
40,1.2024861420374122e-06,0.3,5.169350183184373e-30,-2.7870505059493287e-05,0.2
41,1.208042134677329e-06,0.3,5.314323224168292e-30,-2.7870505059493287e-05,0.2
42,1.2136237983442419e-06,0.3,5.463361995247359e-30,-2.7870505059493287e-05,0.2
43,1.2192312516491094e-06,0.3,5.616580518732779e-30,-2.7870505059493287e-05,0.2
44,1.2248646137509307e-06,0.3,5.774096014661155e-30,-2.7870505059493287e-05,0.2
45,1.2305240043592616e-06,0.3,5.9360289904733885e-30,-2.7870505059493287e-05,0.2
46,1.236209543736769e-06,0.3,6.102503333209346e-30,-2.7870505059493287e-05,0.2
47,1.2419213527017847e-06,0.3,6.273646404287747e-30,-2.7870505059493287e-05,0.2
48,1.2476595526308684e-06,0.3,6.449589136944083e-30,-2.7870505059493287e-05,0.2
49,1.2534242654613996e-06,0.3,6.63046613640162e-30,-2.7870505059493287e-05,0.2
50,1.2592156136941508e-06,0.3,6.816415782850774e-30,-2.7870505059493287e-05,0.2
51,1.2650337203959037e-06,0.3,7.007580337317447e-30,-2.7870505059493287e-05,0.2
52,1.2708787092020594e-06,0.3,7.204106050499875e-30,-2.7870505059493287e-05,0.2
53,1.2767507043192644e-06,0.3,7.406143274657862e-30,-2.7870505059493287e-05,0.2
54,1.28264983052806e-06,0.3,7.613846578640329e-30,-2.7870505059493287e-05,0.2
55,1.288576213185518e-06,0.3,7.827374866137875e-30,-2.7870505059493287e-05,0.2
56,1.294529978227916e-06,0.3,8.04689149725263e-30,-2.7870505059493287e-05,0.2
57,1.30051125217341e-06,0.3,8.272564413477033e-30,-2.7870505059493287e-05,0.2
58,1.3065201621247199e-06,0.3,8.504566266177554e-30,-2.7870505059493287e-05,0.2
59,1.3125568357718428e-06,0.3,8.743074548682326e-30,-2.7870505059493287e-05,0.2
60,1.3186214013947485e-06,0.3,8.988271732071972e-30,-2.7870505059493287e-05,0.2
61,1.3247139878661175e-06,0.3,9.240345404779819e-30,-2.7870505059493287e-05,0.2
62,1.330834724654076e-06,0.3,9.499488416106537e-30,-2.7870505059493287e-05,0.2
63,1.3369837418249452e-06,0.3,9.76589902375964e-30,-2.7870505059493287e-05,0.2
64,1.3431611700460154e-06,0.3,1.003978104553132e-29,-2.7870505059493287e-05,0.2
65,1.3493671405883065e-06,0.3,1.0321344015228756e-29,-2.7870505059493287e-05,0.2
66,1.355601785329369e-06,0.3,1.0610803342978756e-29,-2.7870505059493287e-05,0.2
67,1.3618652367560827e-06,0.3,1.0908380480027409e-29,-2.7870505059493287e-05,0.2
68,1.3681576279674705e-06,0.3,1.1214303088161552e-29,-2.7870505059493287e-05,0.2
69,1.3744790926775367e-06,0.3,1.1528805213882246e-29,-2.7870505059493287e-05,0.2
