,f,Omega
0,1.026309137331897e-07,1.6012499291517318e-11
1,1.1030787448822172e-07,6.0973741362278175e-12
2,1.2028196136227775e-07,3.545074087037781e-12
3,1.3115790958968528e-07,2.4038864523712652e-12
4,1.430172658735088e-07,1.735788259850184e-12
5,1.605143204364765e-07,1.1840895669663573e-12
6,1.8015200408020272e-07,8.370911180320595e-13
7,1.9362766959809468e-07,6.82373974161393e-13
8,2.2047451503814765e-07,4.807650456376984e-13
9,2.404099183509974e-07,3.8448783372533457e-13
10,2.698222094696544e-07,2.8825830054350285e-13
11,2.942196531724383e-07,2.337229497839073e-13
12,3.2548526189658025e-07,1.8406333546762605e-13
13,3.653058622420186e-07,1.4104632006099038e-13
14,3.92631340170684e-07,1.198205422156269e-13
15,4.3435478631796724e-07,9.572331023849353e-14
16,4.736293385020014e-07,7.922914996339894e-14
17,5.392989490128892e-07,5.996675864288197e-14
18,6.052779976193353e-07,4.7044155111932165e-14
19,6.793290717006716e-07,3.7061686642803026e-14
20,7.624397210419153e-07,2.931165396102256e-14
21,8.557183144940021e-07,2.3270134325823232e-14
22,9.604088212505408e-07,1.8539695640844605e-14
23,1.0779074004992758e-06,1.482066086746926e-14
24,1.192452539348703e-06,1.2216850404480073e-14
25,1.3383398699258844e-06,9.825459784705476e-15
26,1.4805601813899131e-06,8.140710279528268e-15
27,1.6378937069540681e-06,6.7603054559137175e-15
28,1.8119464706671257e-06,5.627459084115665e-15
29,2.033624084686678e-06,4.575485911204403e-15
30,2.2497296175367906e-06,3.826498164491582e-15
31,2.4887998672586723e-06,3.2073895444493293e-15
32,2.793285250948259e-06,2.6285154648875163e-15
33,3.135022062565118e-06,2.1601987335814195e-15
34,3.5696988468260767e-06,1.7381849461060452e-15
35,4.1237109935333745e-06,1.3709548680089674e-15
36,4.628215088301744e-06,1.1376178539919014e-15
37,5.19444135080622e-06,9.467173863447517e-16
38,6.176277733741569e-06,7.226710917335844e-16
39,6.9318974684867155e-06,6.058645570556378e-16
40,7.893018264543582e-06,4.986759754899503e-16
41,9.659672580093865e-06,3.7130600716752835e-16
42,1.1485512424239392e-05,2.9066091844422214e-16
43,1.3078000613005968e-05,2.4309435943574907e-16
44,1.5107687571246987e-05,2.0036532660838263e-16
45,1.7963293461795433e-05,1.6010691862836153e-16
46,2.1052722727657114e-05,1.3134031666220127e-16
47,2.432007513267955e-05,1.104376822100419e-16
48,2.8916976510203027e-05,9.049218966159369e-17
49,3.340484983513251e-05,7.726212068580727e-17
50,3.915000569543541e-05,6.550427820205573e-17
51,4.5883246101008585e-05,5.608429969070453e-17
52,5.3774507445631844e-05,4.85326887988163e-17
53,6.39387896694277e-05,4.1992904461327366e-17
54,7.712906117628008e-05,3.650285366342227e-17
55,9.17077450674295e-05,3.2616599139770907e-17
56,0.0001074801640907048,2.987453689416843e-17
57,0.00013344837298838414,2.7189172712204245e-17
58,0.00016331744666101734,2.562416926633719e-17
59,0.00019418717841282587,2.4932223081442817e-17
60,0.00023765111138110824,2.485838854068755e-17
61,0.00029935772947204965,2.5794448073019727e-17
62,0.0003611138207247314,2.7493964943003815e-17
63,0.0004483622838411915,3.083065826050088e-17
64,0.0005487169437608621,3.584968995442535e-17
65,0.0006812920690579638,4.449070238456679e-17
66,0.0008100676766028612,5.547079043223692e-17
67,0.0009771808272983928,7.461759966499098e-17
68,0.0011288378916846928,9.826993009940649e-17
69,0.001322981845654018,1.4012583248801539e-16
70,0.001528306732658772,2.0279101692694768e-16
71,0.0018171822927180944,3.3321977527746546e-16
72,0.002010287375712888,4.55340119230442e-16
73,0.0023902653468424,8.018365008654295e-16
74,0.002801356761198876,1.3830809939794004e-15
75,0.0033308600906185306,2.5611927219922122e-15
76,0.003847804804547553,4.3367837343851164e-15
77,0.004509572135676163,7.825382307937857e-15
78,0.005209451270253222,1.3492764975678223e-14
79,0.0060179506437973524,2.3420817151001865e-14
80,0.007052951985784025,4.324623240189344e-14
81,0.008507942799627445,8.998180350706439e-14
82,0.01011608643249585,1.7814936277114781e-13
83,0.011855908450490915,3.3495956880788873e-13
84,0.013894954943731415,6.32665729030369e-13
85,0.01700499235818794,1.4299521082939665e-12
86,0.021113556925396897,3.451915900234881e-12
87,0.026214788966213584,8.391207403754662e-12
88,0.031169822980411627,1.7167036945586333e-11
89,0.03706144138266235,3.5278046325468406e-11
90,0.043435478631796726,6.854192952192596e-11
91,0.053157421898742,1.6045927176344522e-10
92,0.06320506462265646,3.3433868280037904e-10
93,0.0796163944978579,8.964477073276262e-10
94,0.0988524570912832,2.2781961217440974e-09
95,0.12273613160474005,5.8388233071043814e-09
96,0.15239032437388306,1.5104612877343122e-08
97,0.1947483039908761,4.4940543393272654e-08
98,0.245315116611214,1.272996133388535e-07
99,0.3002227571240644,3.214029631903455e-07
100,0.3781762365267144,9.476416855661602e-07
101,0.4832930238571772,3.108998944895834e-06
102,0.6000611206356941,9.383241950943387e-06
103,0.7343697631390397,2.8968763983625573e-05
104,0.8731779435154766,9.470753288709843e-05
105,0.9659672580093842,0.000344370194352838
