,f,hc
0,1.5399730716380941e-09,9.937893276715035e-13
1,1.586105927061772e-09,9.346819367836076e-14
2,1.586105927061772e-09,3.0128571366125807e-15
3,1.6579093468470728e-09,1.3417979977144242e-16
4,1.6096880452941902e-09,1.4246375187808152e-17
5,2.1945317192564797e-09,1.8903797231628463e-17
6,2.9480339152871896e-09,2.5083822731296333e-17
7,3.9602544312405955e-09,3.4656734121697005e-17
8,5.8990274386962254e-09,5.1913465830718636e-17
9,9.600523783421892e-09,8.602912604267446e-17
10,1.732511611561894e-08,1.5771902922205062e-16
11,3.1264924205280464e-08,2.833662090434723e-16
12,6.074160448733071e-08,5.519636817048251e-16
13,1.0642616783318651e-07,9.524128113573524e-16
14,2.129591796714786e-07,1.9316876817204666e-15
15,4.0767653396396297e-07,3.68743805688489e-15
16,6.833595795753753e-07,6.110689554127017e-15
17,1.0029911105219884e-06,9.153403556617931e-15
