,f,Xi
0,1e-06,0.19221895293545915
1,1.0046204213468131e-06,0.18310996861302617
2,1.0092621909870486e-06,0.1750230306256887
3,1.0139254075588142e-06,0.16772030874530774
4,1.018610170155975e-06,0.16104794136016012
5,1.0233165783302448e-06,0.15489856846978828
6,1.0280447320933098e-06,0.14919292253626437
7,1.0327947319189523e-06,0.14387053248136975
8,1.0375666787451851e-06,0.1388836081227815
9,1.0423606739764008e-06,0.13419360560398771
10,1.0471768194855205e-06,0.1297689221407714
11,1.0520152176161592e-06,0.12558308037230725
12,1.056875971184805e-06,0.1216137470384086
13,1.061759183482999e-06,0.1178417505217045
14,1.0666649582795387e-06,0.11425057629282047
15,1.0715933998226714e-06,0.11082579211896715
16,1.0765446128423159e-06,0.10755466258582272
17,1.0815187025522892e-06,0.10442609656449545
18,1.0865157746525372e-06,0.10143013233830703
19,1.0915359353313913e-06,0.09855778338237978
20,1.09657929126781e-06,0.09580102371089579
21,1.101645949633657e-06,0.09315276826147095
22,1.1067360180959743e-06,0.0906062772134862
23,1.1118496048192698e-06,0.08815582954546142
24,1.1169868184678223e-06,0.08579573231554445
25,1.12214776820798e-06,0.08352112392217163
26,1.127332563710487e-06,0.08132734738638424
27,1.1325413151528126e-06,0.07921027969903907
28,1.13777413322149e-06,0.07716588651553621
29,1.1430311291144787e-06,0.07519067706358225
30,1.1483124145435112e-06,0.0732813044038531
31,1.1536181017364786e-06,0.07143455580517329
32,1.1589483034398115e-06,0.06964750685468712
33,1.1643031329208755e-06,0.06791757474324617
34,1.1696827039703847e-06,0.06624217872991066
35,1.1750871309048077e-06,0.06461887270535366
36,1.1805165285688057e-06,0.0630454632886906
37,1.1859710123376708e-06,0.061519841574227754
38,1.1914506981197747e-06,0.06003997845125529
39,1.1969557023590428e-06,0.05860425586774652
40,1.2024861420374122e-06,0.057210671338600735
41,1.2080421346773291e-06,0.05585764958457159
42,1.213623798344242e-06,0.05454356237339835
43,1.2192312516491094e-06,0.05326713670489419
44,1.2248646137509307e-06,0.0520267220208321
45,1.2305240043592616e-06,0.05082104411772829
46,1.236209543736769e-06,0.04964887434670944
47,1.2419213527017849e-06,0.04850902763862905
48,1.2476595526308686e-06,0.047400360608563424
49,1.2534242654613994e-06,0.04632176973550258
50,1.2592156136941506e-06,0.045272189613228424
51,1.2650337203959035e-06,0.0442505912685074
52,1.2708787092020594e-06,0.04325598054288676
53,1.2767507043192644e-06,0.042287751740548725
54,1.28264983052806e-06,0.04134476865692043
55,1.2885762131855178e-06,0.04042610764083096
56,1.294529978227916e-06,0.039531420591350265
57,1.3005112521734101e-06,0.03865935902023461
58,1.30652016212472e-06,0.037809832800818
59,1.3125568357718428e-06,0.03698154055377465
60,1.3186214013947485e-06,0.03617429254234205
61,1.3247139878661177e-06,0.03538717254290413
62,1.330834724654076e-06,0.03461948418804278
63,1.3369837418249452e-06,0.03387105131117767
64,1.3431611700460156e-06,0.03314096202992347
65,1.3493671405883065e-06,0.032428666873565645
66,1.355601785329369e-06,0.0317336673323039
67,1.3618652367560827e-06,0.03105565392116532
68,1.3681576279674705e-06,0.03039401491501746
69,1.3744790926775369e-06,0.029748226738761777
70,1.3808297652180924e-06,0.029117848982361236
71,1.387209780541621e-06,0.028502454243631514
72,1.3936192742241437e-06,0.027901627705978038
73,1.4000583824680962e-06,0.027314966730413823
74,1.4065272421052364e-06,0.026742080461340613
75,1.4130259905995338e-06,0.02618258944560217
76,1.4195547660501015e-06,0.025636125264327205
77,1.4261137071941298e-06,0.025102330177107297
78,1.4327029534098294e-06,0.024580856778068306
79,1.4393226447194066e-06,0.024071367663409903
80,1.4459729217920196e-06,0.023573535110010292
81,1.4526539259467812e-06,0.023087040764699654
82,1.4593657991557576e-06,0.022611674286626606
83,1.4661086840469832e-06,0.02214717342004857
84,1.4728827239075018e-06,0.021693131849570627
85,1.4796880626863962e-06,0.02124926520387581
86,1.4865248449978571e-06,0.02081529710993873
87,1.493393216124253e-06,0.020391031877693096
88,1.5002933220192168e-06,0.019976402226208504
89,1.5072253093107556e-06,0.01957090733657407
90,1.5141893253043518e-06,0.019174299924507338
91,1.5211855179861048e-06,0.018786471123991143
92,1.5282140360258708e-06,0.018407334095009935
93,1.5352750287804212e-06,0.018036400687492345
94,1.5423686462966274e-06,0.01767346226110753
95,1.5494950393146317e-06,0.017318732967676588
96,1.556654359271062e-06,0.01697157705411876
97,1.5638467583022478e-06,0.016631829774896283
98,1.5710723892474488e-06,0.01629970950302409
99,1.5783314056521166e-06,0.01597458145141279
100,1.5856239617711372e-06,0.015656453349120074
101,1.5929502125721232e-06,0.015345282200101692
102,1.6003103137387017e-06,0.015040567062126588
103,1.6077044216738218e-06,0.014742603306475728
104,1.6151326935030896e-06,0.014450848703008288
105,1.6225952870780872e-06,0.014165318959199738
106,1.6300923609797409e-06,0.01388590872185735
107,1.637624074521689e-06,0.013612263409798299
108,1.645190587753661e-06,0.01334461215272784
109,1.6527920614648938e-06,0.013082328286437664
110,1.6604286571875298e-06,0.012825879356882869
111,1.6681005372000591e-06,0.012574523879103615
112,1.6758078645307687e-06,0.012328683169502254
113,1.6835508029612006e-06,0.012087741369477819
114,1.6913295170296468e-06,0.011852046201234557
115,1.699144172034626e-06,0.011621028803380397
116,1.7069949340384078e-06,0.011395038285861038
117,1.714881969870541e-06,0.011173480123164797
118,1.7228054471313924e-06,0.010956774065854994
119,1.730765534195724e-06,0.010744270952905956
120,1.7387624002162502e-06,0.010536410708101383
121,1.7467962151272456e-06,0.010332608423999128
122,1.7548671496481518e-06,0.010133145742502667
123,1.762975375287204e-06,0.009937670748390935
124,1.771121064345087e-06,0.009746215016619543
125,1.7793043899185776e-06,0.009558711139646446
126,1.7875255259042354e-06,0.009374890759900398
127,1.795784647002097e-06,0.009195018336451694
128,1.804081928719381e-06,0.009018597056013261
129,1.812417547374236e-06,0.008845914814864663
130,1.8207916800994625e-06,0.00867665183806864
131,1.8292045048462937e-06,0.008510755095935673
132,1.8376562003881725e-06,0.008348348040039921
133,1.8461469463245456e-06,0.008189040127699361
134,1.8546769230846974e-06,0.00803308450371483
135,1.86324631193156e-06,0.007880210576305483
136,1.8718552949655795e-06,0.007730288319820849
137,1.8805040551285839e-06,0.007583578981674561
138,1.8891927762076644e-06,0.007439653967865139
139,1.8979216428390994e-06,0.00729861156024461
