,frequency,MA,MT,MAE,DAE
0,1e-06,0.3,5.105545999999999e-30,-2.7870505059493287e-05,0.2
1,1.0046204213468131e-06,0.3,5.24872966976008e-30,-2.7870505059493287e-05,0.2
2,1.0092621909870484e-06,0.3,5.3959288871787194e-30,-2.7870505059493287e-05,0.2
3,1.0139254075588142e-06,0.3,5.547256267214137e-30,-2.7870505059493287e-05,0.2
4,1.0186101701559753e-06,0.3,5.702827583081108e-30,-2.7870505059493287e-05,0.2
5,1.0233165783302448e-06,0.3,5.862761854822962e-30,-2.7870505059493287e-05,0.2
6,1.0280447320933098e-06,0.3,6.027181440368364e-30,-2.7870505059493287e-05,0.2
7,1.0327947319189525e-06,0.3,6.1962121291412765e-30,-2.7870505059493287e-05,0.2
8,1.037566678745185e-06,0.3,6.369983238296295e-30,-2.7870505059493287e-05,0.2
9,1.042360673976401e-06,0.3,6.548627711653196e-30,-2.7870505059493287e-05,0.2
10,1.0471768194855203e-06,0.3,6.732282221405356e-30,-2.7870505059493287e-05,0.2
11,1.0520152176161592e-06,0.3,6.921087272681236e-30,-2.7870505059493287e-05,0.2
12,1.056875971184805e-06,0.3,7.115187311038005e-30,-2.7870505059493287e-05,0.2
13,1.061759183482999e-06,0.3,7.314730832969707e-30,-2.7870505059493287e-05,0.2
14,1.0666649582795387e-06,0.3,7.519870499515031e-30,-2.7870505059493287e-05,0.2
15,1.0715933998226711e-06,0.3,7.730763253050333e-30,-2.7870505059493287e-05,0.2
16,1.0765446128423159e-06,0.3,7.947570437358949e-30,-2.7870505059493287e-05,0.2
17,1.0815187025522892e-06,0.3,8.170457921067407e-30,-2.7870505059493287e-05,0.2
18,1.0865157746525372e-06,0.3,8.399596224543314e-30,-2.7870505059493287e-05,0.2
19,1.0915359353313911e-06,0.3,8.635160650352632e-30,-2.7870505059493287e-05,0.2
20,1.09657929126781e-06,0.3,8.87733141737448e-30,-2.7870505059493287e-05,0.2
21,1.101645949633657e-06,0.3,9.126293798678288e-30,-2.7870505059493287e-05,0.2
22,1.1067360180959745e-06,0.3,9.382238263267069e-30,-2.7870505059493287e-05,0.2
23,1.1118496048192698e-06,0.3,9.645360621795892e-30,-2.7870505059493287e-05,0.2
24,1.1169868184678225e-06,0.3,9.91586217637754e-30,-2.7870505059493287e-05,0.2
25,1.1221477682079801e-06,0.3,1.019394987458825e-29,-2.7870505059493287e-05,0.2
26,1.127332563710487e-06,0.3,1.047983646779373e-29,-2.7870505059493287e-05,0.2
27,1.1325413151528126e-06,0.3,1.0773740673914723e-29,-2.7870505059493287e-05,0.2
28,1.1377741332214902e-06,0.3,1.1075887344757348e-29,-2.7870505059493287e-05,0.2
29,1.1430311291144787e-06,0.3,1.1386507638036774e-29,-2.7870505059493287e-05,0.2
30,1.1483124145435112e-06,0.3,1.1705839194223966e-29,-2.7870505059493287e-05,0.2
31,1.1536181017364786e-06,0.3,1.2034126318353368e-29,-2.7870505059493287e-05,0.2
32,1.1589483034398117e-06,0.3,1.237162016692865e-29,-2.7870505059493287e-05,0.2
33,1.1643031329208755e-06,0.3,1.2718578940070224e-29,-2.7870505059493287e-05,0.2
34,1.1696827039703847e-06,0.3,1.307526807905214e-29,-2.7870505059493287e-05,0.2
35,1.1750871309048075e-06,0.3,1.344196046937738e-29,-2.7870505059493287e-05,0.2
36,1.1805165285688055e-06,0.3,1.3818936649549957e-29,-2.7870505059493287e-05,0.2
37,1.1859710123376706e-06,0.3,1.4206485025701038e-29,-2.7870505059493287e-05,0.2
38,1.1914506981197747e-06,0.3,1.4604902092234292e-29,-2.7870505059493287e-05,0.2
39,1.1969557023590428e-06,0.3,1.5014492658660057e-29,-2.7870505059493287e-05,0.2
40,1.2024861420374122e-06,0.3,1.5435570082789172e-29,-2.7870505059493287e-05,0.2
41,1.208042134677329e-06,0.3,1.5868456510468538e-29,-2.7870505059493287e-05,0.2
42,1.2136237983442419e-06,0.3,1.6313483122039004e-29,-2.7870505059493287e-05,0.2
43,1.2192312516491094e-06,0.3,1.6770990385705134e-29,-2.7870505059493287e-05,0.2
44,1.2248646137509307e-06,0.3,1.7241328318011746e-29,-2.7870505059493287e-05,0.2
45,1.2305240043592616e-06,0.3,1.772485675162322e-29,-2.7870505059493287e-05,0.2
46,1.236209543736769e-06,0.3,1.822194561061482e-29,-2.7870505059493287e-05,0.2
47,1.2419213527017847e-06,0.3,1.873297519348342e-29,-2.7870505059493287e-05,0.2
48,1.2476595526308684e-06,0.3,1.9258336464095074e-29,-2.7870505059493287e-05,0.2
49,1.2534242654613996e-06,0.3,1.9798431350793492e-29,-2.7870505059493287e-05,0.2
50,1.2592156136941508e-06,0.3,2.0353673053894306e-29,-2.7870505059493287e-05,0.2
51,1.2650337203959037e-06,0.3,2.092448636180563e-29,-2.7870505059493287e-05,0.2
