,f,Omega
0,0.09791484448819487,2.8134603046694937e-12
1,0.09952690423697276,2.4272722901738772e-12
2,0.10199489409995896,2.0558002626322208e-12
3,0.1036741273583974,1.7736120190988651e-12
4,0.1062449567972921,1.5301581829084175e-12
5,0.10887953564187064,1.3447121281044273e-12
6,0.11341647699582645,1.2490164977274088e-12
7,0.11911104210941102,1.2261762164395038e-12
8,0.12611707054216167,1.2261762164395038e-12
9,0.13462995572784395,1.295981339640571e-12
10,0.14254879583725094,1.3952752652847974e-12
11,0.15217082025554016,1.5586608098914248e-12
12,0.16511676353433374,1.741178662545508e-12
13,0.17482881641842068,1.9450692002161295e-12
14,0.1866297378553109,2.213309072499651e-12
15,0.2025072759822239,2.6132420930767954e-12
16,0.2161764896920807,3.0290185922388942e-12
17,0.23076837347657836,3.5763459266948558e-12
18,0.2443420082741937,4.0695512967206236e-12
19,0.2608350607494487,4.717031985859117e-12
20,0.2784413920336672,5.673116325426444e-12
21,0.2972361482957209,6.698217869672549e-12
22,0.3147193712557572,7.90854973808913e-12
23,0.3332309451980786,9.337582051938727e-12
24,0.3557239888803713,1.1024832803005883e-11
25,0.3766474258361003,1.3016960671204779e-11
26,0.3955586400450077,1.5369055308439186e-11
27,0.4222587946904641,1.8484173700341906e-11
28,0.4398540514704351,2.1425074220578047e-11
29,0.4695441403896297,2.624765381216961e-11
30,0.4931196362256458,3.1567730257576503e-11
31,0.5221245893430158,3.7966120733925506e-11
32,0.5483401141959583,4.482639412880527e-11
33,0.5805930973185983,5.3912152621498165e-11
34,0.6097442866762084,6.727754166651053e-11
35,0.6403591376668759,8.24210737762735e-11
36,0.6725111397578677,1.0285412389507482e-10
37,0.7120677760112673,1.260056048981612e-10
38,0.7539511060235943,1.572437181884934e-10
39,0.7918064845315007,1.9988123881059488e-10
40,0.8383799897718343,2.4943389789765444e-10
41,0.8804744858110434,3.289915737620263e-10
42,0.924682518216116,4.259893968526933e-10
43,0.9711102062280508,5.515854529520088e-10
44,1.011575754027379,7.142114666611752e-10
45,1.0623662930320783,9.774323153447652e-10
46,1.1066344242239643,1.2656123611823227e-09
47,1.1527471804308551,1.6387576138328455e-09
48,1.191017061698195,2.1219186847909176e-09
49,1.2305574590310542,2.7987108945025937e-09
50,1.2818340096829663,3.6238653540002413e-09
51,1.3136199209014656,4.7797078743619836e-09
52,1.3461940341370422,6.304209768450584e-09
53,1.4022890877016922,8.78831909186898e-09
54,1.4370619491702252,1.1807294761394841e-08
55,1.484770753930003,1.5863353176541718e-08
56,1.5340634361648728,2.170975229082217e-08
57,1.5849925787862909,3.082799760028858e-08
58,1.62429597767469,4.218957896707616e-08
59,1.6645739913245998,5.6682602158164667e-08
60,1.7058507874660576,7.75728333321545e-08
61,1.7481511331214281,1.0231491683458524e-07
62,1.7915004094662368,1.4002282338513466e-07
