#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------orms------brms------umax------bmax-----divu2m----gg2m------oum------ourms-----oxurms----o2u2m---
  110   1.0108  9.77E-05 1.901E-08 4.767E-04 2.076E-12 8.928E-09 1.950E-04 1.526E-01 3.088E-02 9.944E-04 8.558E-02 2.115E-04 1.25E-11  2.48E-05  4.55E-05  1.74E-05  2.37E-09
  115   1.0113  9.77E-05 2.274E-08 5.007E-04 2.206E-12 9.591E-09 2.133E-04 1.670E-01 3.164E-02 1.073E-03 8.231E-02 2.400E-04 1.32E-11  2.97E-05  5.45E-05  2.08E-05  3.40E-09
  120   1.0118  9.77E-05 2.700E-08 5.290E-04 2.391E-12 1.026E-08 2.324E-04 1.820E-01 3.253E-02 1.154E-03 8.571E-02 2.708E-04 1.43E-11  3.53E-05  6.47E-05  2.47E-05  4.80E-09
  125   1.0122  9.77E-05 3.191E-08 5.524E-04 2.635E-12 1.095E-08 2.526E-04 1.978E-01 3.324E-02 1.235E-03 8.792E-02 3.068E-04 1.58E-11  4.17E-05  7.65E-05  2.91E-05  6.69E-09
  130   1.0127  9.76E-05 3.746E-08 5.730E-04 2.831E-12 1.166E-08 2.737E-04 2.143E-01 3.385E-02 1.319E-03 8.856E-02 3.441E-04 1.70E-11  4.90E-05  8.97E-05  3.40E-05  9.21E-09
  135   1.0132  9.76E-05 4.362E-08 5.823E-04 2.954E-12 1.240E-08 2.953E-04 2.313E-01 3.413E-02 1.447E-03 8.720E-02 3.825E-04 1.77E-11  5.71E-05  1.04E-04  3.95E-05  1.24E-08
  140   1.0137  9.76E-05 5.034E-08 5.964E-04 3.105E-12 1.314E-08 3.173E-04 2.487E-01 3.454E-02 1.571E-03 9.014E-02 4.184E-04 1.86E-11  6.59E-05  1.20E-04  4.54E-05  1.65E-08
  145   1.0142  9.76E-05 5.789E-08 6.218E-04 3.335E-12 1.386E-08 3.403E-04 2.669E-01 3.527E-02 1.694E-03 8.766E-02 4.529E-04 2.00E-11  7.59E-05  1.38E-04  5.20E-05  2.18E-08
  150   1.0147  9.75E-05 6.623E-08 6.390E-04 3.625E-12 1.458E-08 3.639E-04 2.856E-01 3.575E-02 1.824E-03 9.980E-02 4.871E-04 2.17E-11  8.70E-05  1.58E-04  5.93E-05  2.84E-08
  155   1.0152  9.75E-05 7.534E-08 6.633E-04 3.920E-12 1.529E-08 3.882E-04 3.048E-01 3.642E-02 1.955E-03 9.682E-02 5.208E-04 2.35E-11  9.91E-05  1.79E-04  6.72E-05  3.66E-08
  160   1.0157  9.75E-05 8.531E-08 6.684E-04 4.160E-12 1.601E-08 4.131E-04 3.245E-01 3.656E-02 2.081E-03 9.658E-02 5.529E-04 2.50E-11  1.12E-04  2.03E-04  7.57E-05  4.69E-08
  165   1.0161  9.75E-05 9.588E-08 6.912E-04 4.344E-12 1.673E-08 4.379E-04 3.443E-01 3.718E-02 2.195E-03 9.349E-02 5.795E-04 2.61E-11  1.26E-04  2.28E-04  8.46E-05  5.90E-08
  170   1.0166  9.75E-05 1.074E-07 7.189E-04 4.579E-12 1.744E-08 4.635E-04 3.646E-01 3.792E-02 2.294E-03 9.493E-02 6.072E-04 2.75E-11  1.42E-04  2.55E-04  9.42E-05  7.38E-08
  175   1.0171  9.74E-05 1.200E-07 7.339E-04 4.895E-12 1.815E-08 4.899E-04 3.856E-01 3.831E-02 2.400E-03 9.948E-02 6.348E-04 2.94E-11  1.59E-04  2.85E-04  1.05E-04  9.19E-08
  180   1.0176  9.74E-05 1.336E-07 7.563E-04 5.232E-12 1.887E-08 5.169E-04 4.072E-01 3.889E-02 2.500E-03 1.066E-01 6.605E-04 3.14E-11  1.77E-04  3.17E-04  1.16E-04  1.14E-07
