,f,M
0,3.070193486847706e-05,0.028277196782809974
1,3.452631385818818e-05,0.028277196782809974
2,4.1316779217619664e-05,0.028277196782809974
3,5.1534399865405285e-05,0.028277196782809974
4,6.585105838054185e-05,0.028240942604008307
5,8.017421041728748e-05,0.02820468842520664
6,9.62738746614406e-05,0.028168434246404975
7,0.00011884379909806752,0.028095925888801644
8,0.00014026539556271668,0.028023417531198313
9,0.00016554668811938903,0.027878400815991654
10,0.00019878615776404838,0.027697129921983327
11,0.00022509068305786288,0.027479604849173334
12,0.0002487906905335735,0.027298333955165007
13,0.00027215235856516866,0.02711706306115668
14,0.00029873323027780846,0.026827029630743356
15,0.00032904133044896536,0.026464487842726703
16,0.0003624226577779816,0.026065691875908382
17,0.0004061344488918205,0.025521879193883403
18,0.00043816477199381317,0.025123083227065083
19,0.00047435182077505537,0.02465177890264343
20,0.0005117526315723514,0.02410796622061845
21,0.000550194184698625,0.023491645180990138
22,0.0005976741176248381,0.022766561604956832
23,0.0006381388515688176,0.022041478028923523
24,0.0006860517769386382,0.021171377737683555
25,0.0007199659279903247,0.02048254834045191
26,0.0007686923088681779,0.019576193870410274
27,0.0008150645637018204,0.018633585221566974
28,0.0008642302406292894,0.017654722393922007
29,0.0009163402431430067,0.016494588672268714
30,0.0009884423391934552,0.014790642268590441
31,0.001066217777971968,0.013086695864912169
32,0.0011382876282576353,0.011564020355242222
33,0.0011903677277038767,0.010403886633588925
34,0.0012708234233766772,0.008844956945117319
35,0.0013520342878594212,0.007249773077844038
36,0.001438455024450141,0.005763351746975759
37,0.0015250960974142812,0.0041319137009008106
38,0.0016450826848271216,0.0023554589396192066
39,0.0017745506452553055,0.0007602750723459256
40,0.0018945703126818357,-0.00047236700691069555
41,0.002002003649121615,-0.001161196404142334
42,0.0021155785132812373,-0.0016687549073656494
43,0.0022279948291526568,-0.001813771622572312
44,0.002322237680224366,-0.0018500258013739793
45,0.002462697539757192,-0.001632500728563989
46,0.0025758667919565104,-0.0013062131193489965
47,0.0026942869062577465,-0.0008349087949273484
48,0.002808450455520914,-0.000327350291704033
49,0.002978555325325677,0.0005064958207342748
50,0.0031155464332448947,0.0011228168603625854
51,0.0032700944698081397,0.0017028837211892286
52,0.00344405184186537,0.0019929171516025537
53,0.003577376543633019,0.0019929171516025537
54,0.0038066614792477966,0.0017753920787925634
55,0.003953820161644975,0.0013765961119742431
56,0.0041207370748309515,0.0007240208935442652
57,0.004339357594213465,-3.7316861290714876e-05
58,0.004507004058300763,-0.0006173837221173581
59,0.004697340366038961,-0.001161196404142334
60,0.004862136759507158,-0.0015237381921589938
61,0.005067754885235789,-0.001632500728563989
62,0.005300585770486331,-0.0013787214769523312
63,0.005525313677668774,-0.0006898920797206859
64,0.005779598507070145,0.00014395403271761503
65,0.006066326349626239,0.0007602750723459256
66,0.006301516751574764,0.0011953252179659132
67,0.0064780982133083465,0.0013040877543709153
68,0.006705588093024559,0.0011953252179659132
69,0.0069647489784376735,0.0007240208935442652
70,0.007159313438533063,0.0001802082115192824
71,0.007410344529844912,-0.000327350291704033
72,0.007565112098392219,-0.0006898920797206859
73,0.007749897110378878,-0.000979925510134004
74,0.008022085939875509,-0.0010524338677373388
75,0.008218455348421071,-0.0009436713313323436
76,0.008448990226534593,-0.0006173837221173581
77,0.008807365027878026,0.00021646239032094977
78,0.009085864061466872,0.0006515125359409374
79,0.009276275525516664,0.0008327834299492604
80,0.009503301333119562,0.0009052917875525882
81,0.00973561039760365,0.0007602750723459256
82,0.009939174126535333,0.0005790041783376026
83,0.010252264658367092,0.00010769985391594766
84,0.010502440555621688,-0.00036360447050569344
85,0.010758972590933114,-0.0006536379009190255
86,0.011060202748716722,-0.0007261462585223533
87,0.011292042973337963,-0.0005086211857123629
88,0.011649273672786831,3.519149631261986e-05
89,0.01193487764575055,0.0004339874631309401
90,0.012227198091491278,0.0006515125359409374
91,0.012483267173108098,0.0007240208935442652
92,0.012744282179998071,0.0005427499995359422
93,0.013010450852444472,0.0001802082115192824
94,0.013328056590176662,-0.0002185877552990309
95,0.013606481163281633,-0.0005448753645140234
96,0.013843101234548663,-0.0007261462585223533
97,0.014280368988921406,-0.0005448753645140234
98,0.014681151642035775,-0.00010982521889403574
99,0.014989173103887797,0.00025271656912261714
100,0.015197984372184883,0.0004339874631309401
101,0.015462714549789112,0.0004702416419326075
102,0.015786101145534123,0.00032522492672594494
103,0.016171616025048168,-1.0626824890475062e-06
104,0.016566545624571705,-0.000327350291704033
105,0.016971357746361597,-0.0005448753645140234
106,0.01720746084880468,-0.0005086211857123629
107,0.017386874009002896,-0.0003998586493073608
108,0.017507848035147534,-0.00018233357649737048
109,0.017690723796841168,7.144567511428723e-05
110,0.017875342723038222,0.00025271656912261714
111,0.01824986906561127,0.0003977332843292797
112,0.018760566684926386,0.00021646239032094977
113,0.01908646086401247,-0.00010982521889403574
114,0.0196881568922928,-0.0003998586493073608
115,0.020309580365827452,-0.0003998586493073608
116,0.020878891688675894,-0.0002185877552990309
117,0.020951988492719908,0.00010769985391594766
118,0.02139107703473022,0.00028897074792427757
119,0.021838449167178663,0.00014395403271761503
120,0.022217913769063014,-0.0001460793976957031
121,0.022604394396435367,-0.00029109611290236564
122,0.022998135118669272,-0.0002548419341006983
123,0.023238141749200802,-7.35710400923753e-05
124,0.023480653069021307,0.00010769985391594766
125,0.02380764626398808,0.00025271656912261714
126,0.024390082166233982,0.00025271656912261714
127,0.024814579545544994,0.0001802082115192824
128,0.025159091114241038,-1.0626824890475062e-06
