,f,M
0,3.0166006217209224e-05,-0.00041873710259681535
1,3.264448072850687e-05,-0.0004628821729861232
2,3.621852415964256e-05,-0.0004644886165956347
3,4.068799155389604e-05,-0.0005521361799304542
4,4.53306636180312e-05,-0.000596731054530418
5,5.177819867815301e-05,-0.0006846356488427671
6,5.768631031880457e-05,-0.0007292305234427379
7,6.534583980280228e-05,-0.0008170066022663153
8,7.402239380426345e-05,-0.0009047826810898996
9,8.777312094224187e-05,-0.0011649622880859911
10,0.00010236243266362648,-0.0012961123443663222
11,0.00011937672385730057,-0.001556034920384898
12,0.00013579059062899122,-0.0017726477766911095
13,0.00015770443090151566,-0.0020754302682113868
14,0.00019092663031996417,-0.002421779510421558
15,0.00023600071399554413,-0.00294014673433797
16,0.0002775249629208501,-0.0033289703455835484
17,0.00033182579785211435,-0.003803899334298831
18,0.0003806009319189184,-0.004106489052585975
19,0.00042402910929314883,-0.0043227806201702815
20,0.0004743799612593871,-0.004496212272252886
21,0.000537367648975991,-0.004541064177830387
22,0.0005962007280468528,-0.004413898101701633
23,0.0006559999527952429,-0.004157830990345883
24,0.0007158226487549648,-0.003644090324024865
25,0.0007811007642412273,-0.0027869562717351692
26,0.0008523317960942036,-0.001715201353215061
27,0.0009339317860612123,-0.00012842061348632833
28,0.0009981425900978816,0.0012870489797243562
29,0.0010712105882798612,0.0032604685673897557
30,0.0011401118186731515,0.005019395804313487
31,0.001218498160867863,0.0074650455554301914
32,0.0012914947038311657,0.009782051302297402
33,0.001368864249114636,0.012399526261887193
34,0.0014210322545630525,0.014330535738261554
35,0.0014936952791108809,0.016604745827371436
36,0.0015441899568608506,0.018407047041751917
37,0.0016097154688540043,0.020337992260381892
38,0.0016572307889823165,0.022097433559260672
39,0.0017419715829470996,0.02462918868784706
40,0.0017859533157752808,0.025873604165517216
41,0.0018386707960848254,0.027418424598165573
42,0.001900827442513976,0.02879148408008522
43,0.0019488200076898591,0.029864202864771035
44,0.0020230903766069383,0.030979653049469792
45,0.0020828076302166205,0.03175183836368864
46,0.0021532173728018482,0.03243811107367094
47,0.0022167756939797893,0.0326522821356907
48,0.002282210119373673,0.03256598398498787
49,0.0023593607043337394,0.03213622819057199
50,0.002439119380770205,0.03127723066369527
51,0.0025111169110486288,0.029989055662102082
52,0.002585239652748464,0.028271638928048064
53,0.0026395202946904043,0.026940668268697558
54,0.002694940632941153,0.025051683357147962
55,0.0027629831659343167,0.02303386166811574
56,0.002820995776007911,0.02118780092981222
57,0.0028802264401648725,0.019170043498524376
58,0.0029285051386842443,0.016808956939012236
59,0.0030024447665498487,0.014276045171027
60,0.0030782512405741593,0.011743133403041763
61,0.003129849254375482,0.009553743536513969
62,0.0031691145614288594,0.007493190447468788
63,0.0031955647196819145,0.005990715868367094
64,0.0032222356370328374,0.0040589995568045545
65,0.003303591445752552,0.00144023944232715
66,0.003345036423434794,-0.0008349345129484431
67,0.003415270037633841,-0.003925796275388388
68,0.0034725172006380557,-0.0062010344884083565
69,0.00354542744809023,-0.008304640266188372
70,0.0036048563251054886,-0.010322333439731837
71,0.003695872636351241,-0.012855245207717081
72,0.003773472536624903,-0.014701305946020586
73,0.0038687461120178695,-0.01598941668986939
