 -0.885000000000000     
  5.768357-179  5.690720-179  5.566978-179  5.469607-179  5.382824-179  5.261492-179  5.136991-179  5.101992-179
  4.988464-179  4.888583-179  4.817397-179  4.707772-179  4.660381-179  4.534859-179  4.463498-179  4.358430-179
  4.274050-179  4.206154-179  4.128866-179  4.025667-179  3.946540-179  3.899291-179  3.778398-179  3.730102-179
  3.647108-179  3.589368-179  3.504156-179  3.414104-179  3.358143-179  3.291937-179  3.228975-179  3.138632-179
  3.084555-179  3.041197-179  2.950532-179  2.899583-179  2.836668-179  2.786413-179  2.710077-179  2.655576-179
  2.589286-179  2.558745-179  2.495422-179  2.430560-179  2.390867-179  2.336736-179  2.285900-179  2.225799-179
  2.201471-179  2.144562-179  2.110153-179  2.040428-179  2.015179-179  1.963843-179  1.926020-179  1.890677-179
  1.851836-179  1.817710-179  1.778293-179  1.739236-179  1.710576-179  1.675556-179  1.641926-179  1.606483-179
  1.585648-179  1.555286-179  1.524304-179  1.496425-179  1.476577-179  1.447866-179  1.422823-179  1.395219-179
 -0.865000000000000     
  1.725760-171  5.925753-176  1.641241-175  3.190600-175  6.456696-175  1.008959-174  1.297281-174  1.693975-174
  2.210446-174  3.394374-174  3.497432-174  4.137785-174  5.053814-174  6.016444-174  6.928729-174  7.086575-174
  9.047481-174  1.003545-173  1.090991-173  1.125335-173  1.306386-173  1.491843-173  1.501376-173  1.663557-173
  1.755778-173  1.978602-173  2.115146-173  2.187146-173  2.359737-173  2.514072-173  2.570784-173  2.774722-173
  2.855767-173  3.093920-173  3.228387-173  3.307014-173  3.572495-173  3.631103-173  3.811784-173  3.873722-173
  4.168248-173  4.306762-173  4.358597-173  4.555744-173  4.674986-173  4.919570-173  4.928601-173  5.113598-173
  5.297776-173  5.470393-173  5.591254-173  5.686978-173  5.878125-173  6.019890-173  6.114380-173  6.243692-173
  6.374830-173  6.556939-173  6.553232-173  6.704514-173  6.957787-173  6.964349-173  7.137659-173  7.080021-173
  7.325926-173  7.598699-173  7.476963-173  7.702563-173  7.642830-173  7.948869-173  7.853672-173  7.917075-173
  8.092890-173  8.066957-173  8.349933-173  8.189678-173  8.368946-173  8.486841-173  8.422467-173  8.555152-173
  8.540206-173  8.738698-173  8.677226-173  8.726063-173  8.739699-173  8.865793-173  8.881391-173  8.785242-173
  8.874645-173  8.925561-173  8.991675-173  8.921365-173  9.027467-173  8.956006-173  8.972599-173  8.953246-173
  8.965608-173  9.000524-173  9.105099-173  8.917955-173  8.995863-173  8.967815-173  8.946239-173  8.991351-173
  8.739486-173  9.030564-173  8.833765-173  8.812756-173  8.801477-173  8.831612-173  8.722592-173  8.611075-173
  8.670407-173  8.609849-173  8.610457-173  8.502311-173  8.548563-173  8.490772-173  8.348525-173  8.286853-173
  8.333533-173  8.260873-173  8.158395-173  8.115785-173  8.031319-173  8.070309-173  7.904989-173  7.878537-173
  7.800528-173  7.813255-173  7.729985-173  7.565537-173  7.617143-173  7.455951-173  7.447572-173  7.309982-173
  7.316511-173  7.273686-173  7.124946-173  7.040129-173  7.011652-173  6.949485-173  6.907551-173  6.728357-173
  6.712942-173  6.657542-173  6.569427-173  6.500921-173  6.414458-173  6.371895-173  6.278008-173  6.164698-173
  6.091464-173  6.057690-173  6.005317-173  5.852325-173  5.840386-173  5.776336-173  5.661919-173  5.585173-173
  5.534624-173  5.505496-173  5.353988-173  5.316664-173  5.207278-173  5.201943-173  5.043039-173  5.021240-173
  4.933471-173  4.849383-173  4.841082-173  4.708842-173  4.652001-173  4.581924-173  4.535048-173  4.420515-173
  4.379791-173  4.307847-173  4.252601-173  4.163030-173  4.101486-173  4.047366-173  3.954234-173  3.915800-173
  3.839558-173  3.789497-173  3.708823-173  3.645189-173  3.589455-173  3.510365-173  3.428987-173  3.406796-173
  3.332391-173  3.267038-173  3.220669-173  3.148511-173  3.117882-173  3.035619-173  2.988501-173  2.919143-173
  2.863985-173  2.819243-173  2.768106-173  2.700043-173  2.647763-173  2.616777-173  2.536110-173  2.504526-173
  2.449407-173  2.410933-173  2.354394-173  2.294523-173  2.256631-173  2.213196-173  2.170893-173  2.110597-173
  2.074395-173  2.045390-173  1.984805-173  1.950423-173  1.908498-173  1.875021-173  1.823306-173  1.786742-173
  1.742295-173  1.721822-173  1.679327-173  1.635287-173  1.608749-173  1.572168-173  1.538139-173  1.497544-173
  1.481055-173  1.442583-173  1.419558-173  1.372280-173  1.355343-173  1.320438-173  1.294445-173  1.270992-173
  1.244532-173  1.221369-173  1.194674-173  1.168295-173  1.148609-173  1.125253-173  1.102233-173  1.078221-173
  1.064182-173  1.043565-173  1.022509-173  1.003547-173  9.899995-174  9.706333-174  9.536006-174  9.348806-174
 -0.855000000000000     
  3.964655-166  1.380100-170  3.733651-170  7.400897-170  1.490271-169  2.334717-169  3.000279-169  3.913341-169
  5.124514-169  7.839528-169  8.093022-169  9.564296-169  1.167712-168  1.390080-168  1.603621-168  1.639211-168
  2.094473-168  2.323319-168  2.526751-168  2.606117-168  3.024043-168  3.453368-168  3.470250-168  3.852853-168
  4.061662-168  4.578395-168  4.897036-168  5.063418-168  5.455892-168  5.815216-168  5.947098-168  6.419292-168
  6.601661-168  7.155810-168  7.464651-168  7.645417-168  8.254559-168  8.393803-168  8.809616-168  8.945436-168
  9.621696-168  9.936937-168  1.005539-167  1.051195-167  1.078490-167  1.133799-167  1.136527-167  1.177967-167
  1.220593-167  1.259498-167  1.287028-167  1.309031-167  1.352264-167  1.384176-167  1.405443-167  1.434648-167
  1.464498-167  1.505606-167  1.504086-167  1.538634-167  1.596159-167  1.596752-167  1.636054-167  1.622627-167
