,gamma,A
0,2.65908701209627,1.215729420908174e-14
1,2.674309647399924,1.163564858561035e-14
2,2.6986658638857706,1.1014953887528222e-14
3,2.7199775533108856,1.0450259786870986e-14
4,2.7382447156752705,9.979951711108365e-15
5,2.7595564051003856,9.530809586301892e-15
6,2.783912621586232,9.141885531901156e-15
7,2.8052243110113464,8.846083434752841e-15
8,2.8356695816186552,8.52239482660692e-15
9,2.8691593792866934,8.337550648624285e-15
10,2.902649176954732,8.210550365739925e-15
11,2.9209163393191164,7.944883287711803e-15
12,2.9422280287442315,7.637405054907467e-15
13,2.9635397181693466,7.357943411762911e-15
14,2.9909404617159234,7.16685545038722e-15
15,3.0274747864446927,6.9807300997492465e-15
16,3.0548755299912704,6.78454507488502e-15
17,3.082276273537847,6.521973573899783e-15
18,3.1127215441451543,6.2971200143934465e-15
19,3.1462113418131925,6.0667009789161954e-15
20,3.1766566124205005,5.8962036433387536e-15
21,3.2131909371492697,5.7304979303483104e-15
22,3.2466807348173083,5.56944917715412e-15
23,3.2710369513031536,5.389239663393064e-15
24,3.3014822219104616,5.214861151552845e-15
25,3.3319274925177687,5.035072000466639e-15
26,3.371506344307268,4.872153218358345e-15
27,3.3989070878538463,4.735227211103007e-15
28,3.4232633043396925,4.571974066725233e-15
29,3.4476195208255387,4.433751281589901e-15
30,3.481109318493577,4.2902893094670044e-15
31,3.517643643222346,4.1514693066694605e-15
32,3.5541779679511154,3.999562156850222e-15
33,3.5937568197406162,3.8701491523291175e-15
34,3.624202090347924,3.728535838180035e-15
35,3.6576918880159615,3.615812406133254e-15
36,3.6850926315625374,3.4988163128331586e-15
37,3.7216269562913085,3.3856058378976287e-15
38,3.7520722268986155,3.2617225341188515e-15
39,3.779472970445192,3.1700557446408707e-15
40,3.8099182410525,3.067482907333989e-15
41,3.8464525657812687,2.9552400961385068e-15
42,3.876897836388576,2.8658954255716306e-15
43,3.9103876340566153,2.7610289376804208e-15
44,3.943877431724653,2.671690896069305e-15
45,3.9743227023319614,2.5909186626126262e-15
46,4.004767972939268,2.5236317404901497e-15
47,4.038257770607308,2.436626239271433e-15
48,4.0778366223968066,2.3423253536668925e-15
49,4.111326420064845,2.2715107056938793e-15
50,4.141771690672154,2.2222433885001374e-15
51,4.166127907157999,2.1597899103971926e-15
52,4.196573177765306,2.085328331607278e-15
53,4.230062975433346,2.026722686532834e-15
