,f,CP
0,2.4682197603519117e-09,9.513443739567496e-07
1,7.373830127477732e-09,7.780898219399607e-08
2,4.928396778135829e-09,1.8388741970843149e-07
3,9.848994144020667e-09,8.156366062040577e-08
4,1.2323572787773914e-08,6.794964353558464e-08
5,1.4818028109845919e-08,9.906562382717736e-08
6,1.7257682328763787e-08,8.702395138039252e-08
7,1.9687789954495408e-08,4.7438014365559054e-08
8,2.2183158286285597e-08,7.335775235650639e-08
9,2.4639369243420942e-08,4.8283819498263646e-08
10,2.7143248691844315e-08,6.63672305879975e-08
11,2.9641870668694657e-08,1.1683081045309813e-07
12,3.170255791744476e-08,9.85571156554287e-07
13,3.220431346472245e-08,9.85571156554287e-07
14,3.4451544343325386e-08,1.2465206553099018e-07
15,3.699334869396336e-08,6.875494300331187e-08
16,3.9565106826041166e-08,6.294023342174407e-08
17,4.1915691353971807e-08,3.430963142757341e-08
18,4.435258262943074e-08,5.2434704285256415e-08
19,4.680370224290095e-08,5.0020939975543984e-08
20,4.9397629363232114e-08,5.528969183820728e-08
21,5.1795491144737915e-08,7.379116859645068e-08
22,5.4278735220478405e-08,5.5944952956461644e-08
23,5.6742770889760485e-08,3.5127685827567446e-08
24,5.9096006899947146e-08,4.525426626284669e-08
25,6.169937528952534e-08,7.335775235650639e-08
26,6.423982091925442e-08,7.122855881594638e-08
27,6.670720322671758e-08,4.5790593381542645e-08
28,6.912647665915352e-08,3.5127685827567446e-08
