,f,Sf
0,2.1198633690409863e-09,0.0007113430176290072
1,4.224614030339796e-09,3.1579376031584536e-05
2,6.27988063409312e-09,5.9584916167126875e-06
3,8.391110581588347e-09,3.927078020775892e-06
4,1.0559560270276517e-08,1.6645043529385381e-06
5,1.2725192236747141e-08,3.2274656024594887e-06
6,1.6946719773971656e-08,1.0445185457536587e-06
7,1.904242361682572e-08,2.5811296278392055e-07
8,2.1184514650775177e-08,1.5804837965345152e-07
9,2.3411071766583227e-08,1.206782976561523e-07
10,2.5359665366760438e-08,2.917862066391878e-07
11,2.7562112433896798e-08,2.1739667481868025e-07
12,2.965795512384925e-08,5.25640088676555e-07
13,3.0970561131656543e-08,1.0733962026040246e-05
14,3.191316718694253e-08,0.0034177660487474336
15,3.28844619757546e-08,7.074459285983131e-06
16,3.28844619757546e-08,3.2186126337937444e-07
17,3.39983885829825e-08,2.990306786178228e-07
18,4.029424804501511e-08,1.9708289967950388e-07
19,4.250022249999971e-08,2.4575809907857627e-07
20,4.4677883628342014e-08,3.728847670843137e-07
21,4.6810924913927616e-08,4.7521661397580604e-08
22,4.888268950512934e-08,7.760887423609803e-08
23,5.087638014748746e-08,2.917862066391878e-07
24,5.2951383876700364e-08,1.12118224056146e-07
25,5.4927731944686295e-08,2.847172429879652e-07
26,1.491076755452717e-08,5.355923383841308e-07
27,3.585089482765542e-08,2.3738874402985397e-07
28,3.8150479427943774e-08,4.837963379491757e-07
29,2.663790096766987e-08,1.6395472095739785e-06
30,2.2413000457823257e-08,3.5657200187482624e-07
31,2.020691431992255e-08,4.598081736517087e-07
32,1.7968010801734948e-08,4.598081736517087e-07
33,1.5649483192248688e-08,2.114235565569199e-06
34,6.737518954705828e-09,1.253601517565838e-05
35,5.8143343230844477e-08,1.9097723228644887e-06
36,6.060382005270648e-08,1.4275825377047332e-07
37,6.273356959840361e-08,6.564141193990849e-07
38,6.538829300047394e-08,8.044915232477559e-07
39,6.768617929197446e-08,6.564141193990849e-07
