,f,CP
0,1.0458045397477484e-09,6.4774416395890335e-06
1,2.1277649797927693e-09,1.527449503300561e-06
2,3.215386345429551e-09,9.480949904442377e-07
3,4.298903006282551e-09,4.7018736575445444e-07
4,5.3778695096025e-09,3.918139749292185e-07
5,6.473625634677618e-09,2.536528615307991e-07
6,7.551074458853717e-09,2.0842850574157745e-07
7,8.624868695034285e-09,1.9431173310116367e-07
8,9.714443866405394e-09,1.1244131756094244e-07
9,1.0789594068897091e-08,1.0482571570385086e-07
10,1.1900168867924502e-08,9.772591527014928e-08
11,1.2988004381188614e-08,7.177846259420786e-08
12,1.4027265346787217e-08,6.786216023841205e-08
13,1.5096769570893353e-08,8.983799255655438e-08
14,1.6247817792143798e-08,1.0630641050195176e-07
15,1.7304033121442665e-08,1.093308413121104e-07
16,1.8364540368865168e-08,7.592077343673794e-08
17,1.9490042615658157e-08,3.8183114080198583e-08
18,2.0540280498968852e-08,6.238468301388643e-08
19,2.1647111363284868e-08,8.735279451591032e-08
20,2.2733900800304067e-08,5.2720383105604314e-08
21,2.379186011642736e-08,5.0547968211912245e-08
22,2.489905330246161e-08,9.110698125228749e-08
23,2.5876058712982027e-08,6.415953512767982e-08
24,2.698565681172521e-08,5.498616251299057e-08
25,2.8044537741503225e-08,5.981403753420254e-08
26,2.924712296142661e-08,1.0482571570385086e-07
27,3.0288577127200825e-08,1.2757056745041852e-07
28,3.1257556197770095e-08,1.8370989697094536e-07
29,3.24840607220144e-08,3.0799790205168467e-06
