 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
  5.946214E-91  6.095450E-91  6.345515E-91  6.347889E-91  6.918720E-91  7.251718E-91  7.144347E-91  7.342216E-91
 -0.855000000000000     
  0.000000E+00  2.458631E-92 -5.729039E-93 -5.308630E-92 -2.017160E-91  1.171147E-92 -4.366686E-92 -7.643953E-92
 -2.224974E-91  6.056408E-92 -2.319849E-91 -5.682934E-91 -8.830218E-91 -8.954691E-91 -1.072094E-90 -1.187086E-90
 -2.042231E-90 -1.816520E-90 -2.671321E-90 -1.305980E-90 -2.732602E-90 -3.746405E-90 -4.301542E-90 -3.977312E-90
 -4.202840E-90 -5.970175E-90 -6.765006E-90 -6.096394E-90 -7.621025E-90 -1.014082E-89 -9.330889E-90 -1.103437E-89
 -9.038935E-90 -1.087675E-89 -1.449087E-89 -1.084177E-89 -1.338187E-89 -1.682604E-89 -1.749477E-89 -1.804151E-89
 -2.176130E-89 -1.734107E-89 -2.253476E-89 -2.217419E-89 -2.587224E-89 -2.779010E-89 -2.622078E-89 -2.918469E-89
 -3.066481E-89 -2.779284E-89 -3.196069E-89 -2.889539E-89 -3.201867E-89 -3.196641E-89 -3.036614E-89 -3.160778E-89
 -3.849063E-89 -3.675733E-89 -3.851359E-89 -3.919575E-89 -3.595638E-89 -4.069026E-89 -4.247115E-89 -3.600852E-89
 -3.535626E-89 -3.851628E-89 -3.298214E-89 -3.338927E-89 -3.777473E-89 -3.341236E-89 -4.255195E-89 -3.352963E-89
 -3.159299E-89 -3.210003E-89 -3.241675E-89 -2.731684E-89 -3.166613E-89 -3.066884E-89 -3.346951E-89 -2.183071E-89
 -2.020675E-89 -1.984626E-89 -1.262149E-89 -1.840541E-89 -9.815432E-90 -1.394497E-89 -3.803186E-90 -1.167005E-89
 -8.109699E-90  1.349698E-90  9.139642E-90 -1.626382E-90  1.075542E-89  1.761151E-89  8.337549E-90  2.306739E-89
  2.706995E-89  3.381429E-89  3.330460E-89  5.138829E-89  4.305847E-89  5.439120E-89  5.460319E-89  6.940682E-89
  7.439354E-89  8.115817E-89  8.268171E-89  8.341600E-89  8.705875E-89  1.027467E-88  1.163010E-88  1.115041E-88
  1.301736E-88  1.348001E-88  1.346047E-88  1.519304E-88  1.514391E-88  1.730867E-88  1.776850E-88  1.884326E-88
  1.953387E-88  2.017497E-88  2.107192E-88  2.108655E-88  2.339092E-88  2.448211E-88  2.415368E-88  2.490757E-88
 -0.845000000000000     
  0.000000E+00  6.920976E-90 -6.604954E-91 -1.606027E-89 -5.145029E-89  4.891905E-90 -7.262808E-90 -1.829797E-89
 -5.905798E-89  2.328533E-89  3.871442E-89 -2.290843E-88 -2.278796E-88 -2.265889E-88 -2.595234E-88 -2.853293E-88
 -5.202609E-88 -4.435471E-88 -6.865782E-88 -2.926147E-88 -6.903020E-88 -9.572593E-88 -1.121710E-87 -1.024251E-87
 -1.084031E-87 -1.561071E-87 -1.744195E-87 -1.615032E-87 -2.014394E-87 -2.691934E-87 -2.480515E-87 -2.959589E-87
 -2.431953E-87 -2.947917E-87 -3.953528E-87 -2.936751E-87 -3.699635E-87 -4.630393E-87 -4.792131E-87 -4.964280E-87
 -6.082786E-87 -4.826754E-87 -6.294215E-87 -6.241305E-87 -7.279282E-87 -7.834004E-87 -7.406004E-87 -8.275961E-87
 -8.734420E-87 -8.018909E-87 -9.146176E-87 -8.327022E-87 -9.280946E-87 -9.245375E-87 -8.829852E-87 -9.341137E-87
 -1.120362E-86 -1.086987E-86 -1.130334E-86 -1.156101E-86 -1.079264E-86 -1.203759E-86 -1.255180E-86 -1.089160E-86
 -1.077250E-86 -1.178942E-86 -1.025857E-86 -1.038258E-86 -1.157936E-86 -1.041401E-86 -1.287427E-86 -1.059745E-86
 -1.013531E-86 -1.024786E-86 -1.044499E-86 -8.952321E-87 -1.018335E-86 -9.836567E-87 -1.075426E-86 -7.573870E-87
