,a,t,eta,ap/a,app/a
0,1e-20,0.0,0.0,1.2983561556197456,0.0
1,1.0050790486831318e-20,3.921757617093075e-23,0.003911823446446204,1.2917950655929693,1.852667454438732e-16
2,1.0101838941017975e-20,7.883453998457881e-23,0.00784351523462303,1.2852671312624477,1.8339902915260908e-16
3,1.0153146672788563e-20,1.1885495876247904e-22,0.011795176276812945,1.2787721850797924,1.8155014173501482e-16
4,1.0204714999026716e-20,1.592829412467787e-22,0.01576690799778126,1.2723100603432602,1.7971989337291722e-16
5,1.0256545243304259e-20,2.0012263802358778e-22,0.01975881233753061,1.2658805911935562,1.7790809616175495e-16
6,1.0308638735915745e-20,2.4137824194793385e-22,0.023770991753800617,1.2594836126095061,0.0
7,1.0360996813912364e-20,2.8305398857298814e-22,0.027803549224576264,1.2531189604038493,1.743391130264031e-16
8,1.0413620821135999e-20,3.2515415658863603e-22,0.03185658825109799,1.2467864712190573,1.725815606884306e-16
9,1.0466512108254224e-20,3.6768306826331393e-22,0.03593021286076487,1.24048598252308,1.7084172663620073e-16
10,1.0519672032794722e-20,4.1064508985817334e-22,0.04002452760691477,1.234217332605203,1.691194322476333e-16
11,1.0573101959179865e-20,4.540446321492934e-22,0.04413963757872889,1.2279803605719284,1.6741450070138648e-16
12,1.0626803258762343e-20,4.9788615076066635e-22,0.04827564839224357,1.2217749063427747,1.6572675695868355e-16
13,1.0680777309859662e-20,5.421741467648324e-22,0.05243266620700077,1.2156008106462477,1.640560277453645e-16
14,1.0735025497790129e-20,5.869131670311435e-22,0.05661079771769869,1.209457915015684,1.6240214153407766e-16
15,1.0789549214908154e-20,6.321078047432189e-22,0.06081015016185478,1.2033460617852123,1.607649285266777e-16
16,1.084434986063972e-20,6.7776269985749185e-22,0.06503083132129736,1.1972650940857363,1.5914422063680066e-16
17,1.0899428841518911e-20,7.238825395899759e-22,0.06927294952593549,1.1912148558408413,1.575398514725896e-16
18,1.0954787571223317e-20,7.704720588994088e-22,0.07353661365670656,1.1851951917628638,1.5595165631963186e-16
19,1.1010427470610928e-20,8.175360409132418e-22,0.0778219331426429,1.1792059473488405,1.543794721240306e-16
20,1.1066349967756343e-20,8.650793175493522e-22,0.08212901797614405,1.1732469688765697,1.5282313747567263e-16
21,1.1122556497987151e-20,9.131067698813726e-22,0.08645797870333581,1.1673181034006965,1.5128249259166441e-16
22,1.1179048503921404e-20,9.616233287235835e-22,0.09080892643485092,1.1614191987487184,1.4975737929991017e-16
23,1.1235827435503912e-20,1.0106339750151155e-21,0.09518197283717963,1.1555501035171567,1.4824764102289296e-16
24,1.1292894750044105e-20,1.0601437405650794e-21,0.0995772301575927,1.1497106670676045,1.4675312276158213e-16
25,1.1350251912253155e-20,1.110157708321002e-21,0.10399481120358017,1.1439007395228877,1.452736710795277e-16
26,1.1407900394281299e-20,1.1606810130296098e-21,0.10843482935891893,1.1381201717632479,1.438091340871145e-16
27,1.1465841675756172e-20,1.2117188417439234e-21,0.1128973985845583,1.132368815422457,1.423593614259542e-16
28,1.1524077243820513e-20,1.2632764342594844e-21,0.11738263341268029,1.1266465228840385,1.4092420425345575e-16
29,1.1582608593170049e-20,1.3153590838581881e-21,0.12189064896878343,1.1209531472775063,2.7900703045510215e-16
30,1.1641437226092516e-20,1.3679721376473714e-21,0.12642156095558404,1.1152885424745296,0.0
31,1.1700564652505464e-20,1.4211209971999494e-21,0.130975485664504,1.1096525630852576,0.0
32,1.1759992389995669e-20,1.4748111191122134e-21,0.1355525399789375,1.1040450644545217,0.0
33,1.1819721963857814e-20,1.5290480158962823e-21,0.14015284140768858,1.0984659026581516,0.0
34,1.187975490713333e-20,1.5838372547782111e-21,0.14477650792593694,1.0929149344993079,1.3261203846721984e-16
35,1.1940092760650431e-20,1.6391844618263064e-21,0.149423658304319,1.0873920175047433,1.312751462793123e-16
36,1.2000737073062885e-20,1.69509531899876e-21,0.1540944117883413,1.0818970099212188,1.299517316062897e-16
37,1.2061689400890437e-20,1.751575566361588e-21,0.15878888825141016,1.076429770711801,0.0
38,1.2122951308558473e-20,1.808631002611698e-21,0.16350720819163275,1.0709901595522713,1.2734479269502768e-16
39,1.2184524368437878e-20,1.8662674853855873e-21,0.16824949270881412,1.0655780368275483,1.2606100081238874e-16
40,1.224641016088608e-20,1.924490931991938e-21,0.1730158635193989,1.0601932636280442,1.247901511283493e-16
41,1.230861027428682e-20,1.9833073200124352e-21,0.17780644295957626,1.0548357017461698,1.2353211316965924e-16
42,1.237112630509162e-20,2.042722687905313e-21,0.18262135398630439,1.0495052136727254,1.2228675777839294e-16
43,1.2433959857860455e-20,2.1027431356056024e-21,0.18746072017991666,1.0442016625933976,0.0
44,1.2497112545302635e-20,2.163374825248269e-21,0.19232466575526747,1.0389249123852746,1.1983358456366115e-16
45,1.2560585988318804e-20,2.2246239815239923e-21,0.19721331554046487,1.0336748276132988,1.186255148823293e-16
46,1.2624381816042242e-20,2.2864968927007348e-21,0.20212679501411915,1.0284512735268185,1.1742962402682523e-16
47,1.2688501665880364e-20,2.3489999110912287e-21,0.20706523029261245,1.0232541160561546,1.1624578921963358e-16
48,1.2752947183557473e-20,2.4121394536058428e-21,0.21202874812466496,1.0180832218090978,1.1507388892097934e-16
49,1.281772002315617e-20,2.4759220025273994e-21,0.21701747590470666,1.0129384580675564,1.139138028163654e-16
50,1.2882821847160535e-20,2.54035410618152e-21,0.22203154167647665,1.007819692784087,1.1276541180420668e-16
51,1.2948254326498483e-20,2.605442379550302e-21,0.22707107413257366,1.0027267945785336,1.1162859798360857e-16
52,1.301401914058434e-20,2.6711935049978697e-21,0.23213620261866852,0.9976596327346788,1.1050324464226762e-16
