 -0.885000000000000     
  6.902702E-93  7.066921E-93  7.177789E-93  7.173897E-93  7.385450E-93  7.381753E-93  7.537736E-93  7.578003E-93
  7.756713E-93  7.895359E-93  7.906526E-93  7.956791E-93  8.103640E-93  8.259975E-93  8.434079E-93  8.310636E-93
  8.508910E-93  8.644368E-93  8.694766E-93  8.748764E-93  8.865924E-93  8.979284E-93  9.016332E-93  9.084373E-93
  9.207546E-93  9.319323E-93  9.397734E-93  9.379510E-93  9.564930E-93  9.600969E-93  9.643252E-93  9.691196E-93
  9.823730E-93  9.966278E-93  9.860161E-93  1.002094E-92  9.976547E-93  1.017171E-92  1.003662E-92  1.020417E-92
  1.019934E-92  1.024977E-92  1.039340E-92  1.030600E-92  1.034623E-92  1.038913E-92  1.047692E-92  1.043323E-92
  1.050692E-92  1.051247E-92  1.058876E-92  1.052530E-92  1.056191E-92  1.062645E-92  1.056325E-92  1.064317E-92
  1.059616E-92  1.068018E-92  1.064350E-92  1.058491E-92  1.067570E-92  1.057547E-92  1.047571E-92  1.054315E-92
  1.052188E-92  1.050125E-92  1.050335E-92  1.045052E-92  1.047171E-92  1.043088E-92  1.041121E-92  1.031152E-92
  1.028903E-92  1.026956E-92  1.021710E-92  1.015540E-92  1.010075E-92  1.010786E-92  9.925187E-93  9.939804E-93
  9.912648E-93  9.857308E-93  9.792975E-93  9.658683E-93  9.595433E-93  9.546644E-93  9.486241E-93  9.344189E-93
  9.318337E-93  9.218733E-93  9.107761E-93  9.039900E-93  8.931963E-93  8.927473E-93  8.742557E-93  8.678978E-93
  8.577341E-93  8.553036E-93  8.423880E-93  8.271120E-93  8.222494E-93  8.112973E-93  8.010925E-93  7.858682E-93
  7.828078E-93  7.701796E-93  7.612194E-93  7.428183E-93  7.373951E-93  7.224523E-93  7.115390E-93  7.039238E-93
  6.899321E-93  6.809221E-93  6.706328E-93  6.562628E-93  6.472708E-93  6.371877E-93  6.248576E-93  6.112307E-93
  6.018961E-93  5.880229E-93  5.762688E-93  5.658400E-93  5.567121E-93  5.455454E-93  5.321732E-93  5.173687E-93
 -0.865000000000000     
