 -0.885000000000000     
  0.000000E+00  1.433565-101  3.376341-101  6.244888-101  1.475565-100  2.241929-100  2.934114-100  3.654713-100
  2.800367E-94  2.850422E-94  2.854453E-94  2.872600E-94  2.925616E-94  2.982057E-94  3.044913E-94  3.000347E-94
  3.071929E-94  3.120833E-94  3.139028E-94  3.158522E-94  3.200820E-94  3.241746E-94  3.255121E-94  3.279686E-94
  3.324154E-94  3.364509E-94  3.392817E-94  3.386238E-94  3.453179E-94  3.466190E-94  3.481455E-94  3.498764E-94
  3.546612E-94  3.598075E-94  3.559765E-94  3.617808E-94  3.601783E-94  3.672243E-94  3.623472E-94  3.683961E-94
  3.682215E-94  3.700424E-94  3.752276E-94  3.720722E-94  3.735246E-94  3.750737E-94  3.782428E-94  3.766657E-94
  3.793261E-94  3.795264E-94  3.822806E-94  3.799897E-94  3.813114E-94  3.836414E-94  3.813597E-94  3.842449E-94
  3.825480E-94  3.855810E-94  3.842569E-94  3.821418E-94  3.854194E-94  3.818008E-94  3.781995E-94  3.806340E-94
  3.798662E-94  3.791213E-94  3.791971E-94  3.772897E-94  3.780550E-94  3.765809E-94  3.758708E-94  3.722716E-94
  3.714598E-94  3.707568E-94  3.688628E-94  3.666351E-94  3.646622E-94  3.649189E-94  3.583241E-94  3.588518E-94
  3.578714E-94  3.558735E-94  3.535509E-94  3.487026E-94  3.464191E-94  3.446577E-94  3.424770E-94  3.373486E-94
  3.364153E-94  3.328193E-94  3.288129E-94  3.263630E-94  3.224662E-94  3.223041E-94  3.156282E-94  3.133328E-94
  3.096634E-94  3.087860E-94  3.041231E-94  2.986081E-94  2.968526E-94  2.928986E-94  2.892144E-94  2.837181E-94
  2.826132E-94  2.780541E-94  2.748192E-94  2.681760E-94  2.662181E-94  2.608233E-94  2.568834E-94  2.541341E-94
  2.490827E-94  2.458299E-94  2.421152E-94  2.369273E-94  2.336809E-94  2.300407E-94  2.255892E-94  2.206696E-94
  2.172995E-94  2.122910E-94  2.080474E-94  2.042824E-94  2.009870E-94  1.969555E-94  1.921278E-94  1.867830E-94
 -0.865000000000000     
  0.000000E+00  1.229631E-95  3.073353E-95  6.017050E-95  1.401277E-94  2.068691E-94  2.681234E-94  3.345505E-94
  4.560004E-94  7.272640E-94  7.102573E-94  4.115311E-94  8.391335E-94  1.281068E-93  1.514042E-93  1.566215E-93
  2.063607E-93  2.256473E-93  2.456881E-93  2.646030E-93  3.003097E-93  3.454422E-93  3.599128E-93  4.037659E-93
  4.210515E-93  4.798646E-93  5.332585E-93  5.522934E-93  6.099558E-93  6.490878E-93  6.882058E-93  7.423569E-93
  7.801161E-93  8.437838E-93  9.132589E-93  9.330970E-93  1.018807E-92  1.063821E-92  1.132753E-92  1.168565E-92
  1.273796E-92  1.326799E-92  1.375304E-92  1.440215E-92  1.495095E-92  1.635939E-92  1.647080E-92  1.772168E-92
  1.858716E-92  1.954399E-92  2.021477E-92  2.090442E-92  2.188358E-92  2.301433E-92  2.375422E-92  2.462374E-92
  2.569619E-92  2.703257E-92  2.735720E-92  2.878987E-92  3.013313E-92  3.105043E-92  3.251331E-92  3.268373E-92
  3.419605E-92  3.663115E-92  3.659644E-92  3.842190E-92  3.902593E-92  4.145644E-92  4.191376E-92  4.288651E-92
  4.497003E-92  4.554405E-92  4.813125E-92  4.861241E-92  5.049099E-92  5.238913E-92  5.288864E-92  5.488977E-92
  5.625373E-92  5.867374E-92  5.955662E-92  6.129119E-92  6.237239E-92  6.468876E-92  6.667702E-92  6.715589E-92
  7.000538E-92  7.181558E-92  7.333801E-92  7.451973E-92  7.696593E-92  7.854443E-92  8.007755E-92  8.167323E-92
  8.377999E-92  8.624549E-92  8.876134E-92  8.927663E-92  9.144180E-92  9.456173E-92  9.586577E-92  9.785795E-92
  9.751621E-92  1.030376E-91  1.030426E-91  1.058450E-91  1.082866E-91  1.105773E-91  1.117448E-91  1.127824E-91
  1.160569E-91  1.180775E-91  1.205756E-91  1.213685E-91  1.260755E-91  1.282358E-91  1.277961E-91  1.306622E-91
  1.337939E-91  1.361736E-91  1.375288E-91  1.401593E-91  1.417735E-91  1.453459E-91  1.461708E-91  1.481609E-91
  1.503763E-91  1.538591E-91  1.564300E-91  1.562878E-91  1.607987E-91  1.607499E-91  1.641185E-91  1.649249E-91
  1.687791E-91  1.717938E-91  1.719782E-91  1.731416E-91  1.761610E-91  1.796973E-91  1.833617E-91  1.806772E-91
  1.850375E-91  1.880612E-91  1.891809E-91  1.904255E-91  1.928499E-91  1.954498E-91  1.961878E-91  1.977405E-91
  2.004164E-91  2.030285E-91  2.047618E-91  2.043946E-91  2.085163E-91  2.094613E-91  2.104820E-91  2.116034E-91
  2.145851E-91  2.178475E-91  2.156929E-91  2.193727E-91  2.185214E-91  2.229268E-91  2.201540E-91  2.239808E-91
  2.240845E-91  2.252953E-91  2.285813E-91  2.269420E-91  2.279794E-91  2.291491E-91  2.313165E-91  2.304331E-91
  2.322540E-91  2.327238E-91  2.344317E-91  2.332472E-91  2.342245E-91  2.358552E-91  2.346573E-91  2.366400E-91
  2.359292E-91  2.379008E-91  2.372219E-91  2.361705E-91  2.383028E-91  2.363192E-91  2.343688E-91  2.360378E-91
  2.356783E-91  2.353777E-91  2.356730E-91  2.346425E-91  2.353018E-91  2.345028E-91  2.342494E-91  2.321423E-91
  2.317837E-91  2.315288E-91  2.304824E-91  2.292289E-91  2.281759E-91  2.284949E-91  2.244490E-91  2.249028E-91
  2.244163E-91  2.233210E-91  2.219403E-91  2.190152E-91  2.176556E-91  2.166588E-91  2.153684E-91  2.121983E-91
  2.116691E-91  2.094883E-91  2.070091E-91  2.055494E-91  2.031214E-91  2.030784E-91  1.989076E-91  1.975015E-91
  1.951837E-91  1.946327E-91  1.917143E-91  1.882175E-91  1.871173E-91  1.846189E-91  1.822883E-91  1.787972E-91
  1.780561E-91  1.751633E-91  1.730959E-91  1.688742E-91  1.675885E-91  1.641442E-91  1.616054E-91  1.598187E-91
  1.565746E-91  1.544527E-91  1.520519E-91  1.487008E-91  1.465824E-91  1.442118E-91  1.413442E-91  1.381717E-91
  1.359643E-91  1.327262E-91  1.299789E-91  1.275131E-91  1.253661E-91  1.227463E-91  1.196366E-91  1.161939E-91
 -0.855000000000000     
  0.000000E+00  5.104926E-93  1.283194E-92  2.558029E-92  5.893315E-92  8.710207E-92  1.123593E-91  1.403399E-91
  1.907721E-91  3.051300E-91  1.864371E-91  2.539803E-91  4.297195E-91  5.425519E-91  6.342076E-91  6.541327E-91
  8.610566E-91  9.419598E-91  1.023480E-90  1.105755E-90  1.253145E-90  1.437972E-90  1.499496E-90  1.683059E-90
  1.750978E-90  1.993581E-90  2.211956E-90  2.293200E-90  2.529862E-90  2.689192E-90  2.850462E-90  3.073645E-90
  3.225886E-90  3.486399E-90  3.771338E-90  3.855162E-90  4.206589E-90  4.388685E-90  4.669154E-90  4.812377E-90
  5.240816E-90  5.454134E-90  5.643629E-90  5.913819E-90  6.137508E-90  6.706284E-90  6.742893E-90  7.244247E-90
  7.601527E-90  7.984426E-90  8.251064E-90  8.529872E-90  8.908815E-90  9.359562E-90  9.657291E-90  1.000064E-89
  1.042828E-89  1.095532E-89  1.108221E-89  1.165204E-89  1.219231E-89  1.253494E-89  1.311500E-89  1.318153E-89
  1.377313E-89  1.473880E-89  1.472211E-89  1.541693E-89  1.566360E-89  1.661716E-89  1.677865E-89  1.715450E-89
  1.795756E-89  1.818764E-89  1.922162E-89  1.937214E-89  2.010999E-89  2.082684E-89  2.099741E-89  2.179097E-89
  2.231755E-89  2.325617E-89  2.357909E-89  2.424789E-89  2.465106E-89  2.555112E-89  2.631336E-89  2.645520E-89
  2.754860E-89  2.826297E-89  2.881401E-89  2.926386E-89  3.021213E-89  3.079074E-89  3.137949E-89  3.196435E-89
  3.276891E-89  3.370886E-89  3.465557E-89  3.481708E-89  3.564957E-89  3.683842E-89  3.730621E-89  3.808004E-89
  3.790482E-89  4.003891E-89  3.997793E-89  4.104927E-89  4.195406E-89  4.280760E-89  4.323831E-89  4.360092E-89
  4.487366E-89  4.558312E-89  4.651747E-89  4.678539E-89  4.858114E-89  4.939155E-89  4.918463E-89  5.024995E-89
  5.142845E-89  5.231175E-89  5.280382E-89  5.377569E-89  5.439990E-89  5.575439E-89  5.599956E-89  5.677255E-89
  5.754038E-89  5.883834E-89  5.983996E-89  5.976005E-89  6.144340E-89  6.142249E-89  6.268934E-89  6.294846E-89
  6.440076E-89  6.553791E-89  6.558102E-89  6.602715E-89  6.711602E-89  6.847801E-89  6.982394E-89  6.878882E-89
