,run,q,qt,p,pt
0,A,0.18,1.3582547625537706,0.033,0.24901337313485797
1,B,0.52,1.5284815994967031,0.23,0.6760591690081572
2,C,0.08,1.4239238060681456,0.047,0.8365552360650356
3,D,0.21,1.4051604858259543,0.18,1.2044232735651037
