,name,EM,EGW,Del EGW,ratio Del EGW,hrms,Del hrms,ratio Del hrms,pol,Del pol,ratio Del pol
0,A1,0.01943,1.21111311673132e-05,2.7494469873397167e-10,2.270130290332558e-05,0.0006225,3.5535827958618066e-09,5.7085412671847205e-06,-0.10799784918671013,1.773439082947137e-07,-1.642108623904876e-06
1,A2,0.1004,0.00032312753881265713,3.7704959510186965e-08,0.00011667393148493747,0.003215,9.480659815671796e-08,2.9484400014907707e-05,-0.10799861340119768,9.249478068046324e-07,-8.564514852591654e-06
2,A3,1.028,0.03388237828759813,4.05405221682309e-05,0.0011950776522378533,0.03293,9.945713593029204e-06,0.00030197525977446144,-0.10800726959575027,9.580959740559947e-06,-8.871448881513714e-05
3,A4,10.04,3.231275388126571,0.038364326788877356,0.011733502811905208,0.3215,0.0009559346265973212,0.0029641862473981043,-0.10809771798311169,0.00010002952972079648,-0.0009262191733294989
4,B1,0.02022,0.00011399509634375255,9.743405779187532e-08,0.0008539915579833296,0.005656,1.2472607356806692e-06,0.00022047939262436796,-0.4035731106717141,5.9508745983649636e-05,-0.00014747643127678914
5,B2,0.09986,0.0027798909632847893,1.1781113890406425e-05,0.004220092319126306,0.02793,3.0477035265288194e-05,0.0010899709400947226,-0.40380693904483844,0.0002914513767504623,-0.0007222805212130938
6,B3,1.001,0.27953822820685925,0.012419433238809174,0.042538473480410295,0.2801,0.003129551465017144,0.011050323424443686,-0.40618126384353975,0.0026635278024689235,-0.006600770089069454
7,B4,9.986,27.799467966181236,19.732378381284864,0.4151401617567668,2.793,0.3854772198957699,0.12127804034445054,0.3976286046587284,-0.00673123139197096,-0.017219945316382088
8,C1,0.01909,2.432083357089843e-06,7.211928691464946e-10,0.0002964450511072301,0.0002536,1.9179684154573516e-08,7.561126886474791e-05,0.8256152540247463,4.581869018560614e-05,5.5493339458218003e-05
9,C2,0.1005,6.736606552020602e-05,1.0522793239547837e-07,0.001559595600007296,0.001335,5.316105266251446e-07,0.0003980771009930658,0.8254197316353279,0.00024140710688169698,0.0002923803671436568
10,C3,0.9512,0.0060382035502883425,9.013604580374989e-05,0.014708069680281372,0.01264,4.782239451811901e-05,0.0037696787199378305,0.823352503862373,0.002308547546374329,0.0027959990875619876
11,C4,10.05,0.6736606552020603,0.11757171468683758,0.1485931556406705,0.1335,0.005544768144677109,0.03988002632936828,0.7990267670658808,0.026634371676328983,0.03225823576595003
12,D1,0.01953,1.6847696585885453e-05,4.214817586264963e-08,0.0024954744378767922,0.001922,1.3402512607306027e-06,0.0006969584659884526,0.9439822467331946,0.0002770402650249526,0.00029339427087411317
13,D2,0.09889,0.00043178797340807245,5.512669070651473e-06,0.012606130737435817,0.009728,3.4464687867318336e-05,0.0035301820771256355,0.942829185432986,0.0014302500887911629,0.0015146791601831735
14,D3,0.9801,0.042412244570248586,0.00587738049047562,0.12171104006470984,0.09642,0.0035134218045568544,0.035158820905690905,0.9272879852596327,0.016971308244552064,0.017973143988417466
15,D4,9.889,4.317879848580725,23.764271060496093,0.8462411279477497,0.9728,0.5812883919265492,0.37402849345724354,0.6742623213942334,0.269997059791223,0.2859352686041194
16,E1,0.02013,5.826141104849825e-05,3.716706286858984e-07,0.006338923659721716,0.00572,1.7976586778665864e-05,0.003177615163853217,0.9029993095501456,0.000791824440518174,0.0008761144148669571
17,E2,0.09939,0.0014207997994597184,4.620936832132371e-05,0.031499031728083014,0.02825,0.00044639968202520725,0.015776944761229896,0.8994381652336867,0.004348861821465322,0.004811821470413671
18,E3,1.018,0.14898116489334065,0.07888476939677849,0.3461893926467408,0.2892,0.060556188067824146,0.17515906674252382,0.8036151996246866,0.10017432204952614,0.11083810958989607
