#--it-----t--------dt-------EEK-------EEM-------EEGW------hrms------urms------brms------umax------bmax------o2m------divu2m----gg2m-----hhTpt-----hhXpt-----hhTp2-----hhXp2------bxpt-------bypt-------bzpt-------bxp2-------byp2-------bzp2-------uxpt-------uypt-------uzpt-------uxp2-------uyp2-------uzp2----
    0   1.0000  4.42E-04 0.000E+00 7.805E-03 0.000E+00 0.000E+00 0.000E+00 1.249E-01 0.000E+00 4.830E-01 0.000E+00 0.000E+00 0.00E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  -1.841E-02  7.478E-02  4.574E-02  5.665E-02  1.142E-01  2.096E-02  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20   1.0083  3.96E-04 2.356E-04 7.429E-03 6.811E-10 1.320E-06 2.172E-02 1.219E-01 1.269E-01 4.174E-01 2.103E+03 2.088E+01 6.85E-08 1.636E-15 -1.193E-15 -7.504E-15 2.364E-14  -1.458E-02  6.439E-02  7.837E-02  5.476E-02  1.205E-01  2.518E-02  1.608E-02  1.465E-03  -1.134E-02  1.099E-02  7.665E-03  -2.741E-02
   40   1.0162  4.01E-04 3.741E-04 7.185E-03 7.824E-10 3.281E-06 2.736E-02 1.199E-01 1.286E-01 4.089E-01 2.108E+03 1.485E+01 7.87E-08 1.893E-15 1.427E-15 -4.324E-14 -1.513E-14  -1.115E-02  6.768E-02  9.073E-02  8.641E-02  8.894E-02  2.422E-02  -5.911E-03  3.444E-03  -2.217E-02  4.561E-03  6.598E-04  -4.821E-02
   60   1.0242  3.94E-04 4.687E-04 7.008E-03 6.580E-10 4.759E-06 3.062E-02 1.184E-01 1.391E-01 4.002E-01 2.005E+03 1.181E+01 6.62E-08 1.890E-15 1.065E-15 -8.590E-14 -1.122E-13  -1.449E-03  8.672E-02  9.140E-02  9.004E-02  6.721E-02  1.761E-02  -1.503E-02  1.612E-02  -2.847E-02  -3.674E-03  -5.015E-04  -5.696E-02
   80   1.0321  3.93E-04 5.392E-04 6.869E-03 6.338E-10 5.603E-06 3.284E-02 1.172E-01 1.473E-01 4.014E-01 1.908E+03 1.003E+01 6.37E-08 9.226E-16 -1.260E-15 3.244E-14 1.062E-13  2.379E-03  9.248E-02  1.010E-01  9.376E-02  3.152E-02  8.593E-03  -1.825E-02  1.080E-02  -4.239E-02  -8.849E-03  8.075E-03  -6.878E-02
  100   1.0399  3.89E-04 5.938E-04 6.754E-03 6.464E-10 6.046E-06 3.446E-02 1.162E-01 1.578E-01 3.968E-01 1.826E+03 8.890E+00 6.50E-08 1.471E-15 -1.123E-15 -7.112E-14 -2.196E-14  2.461E-02  1.108E-01  9.345E-02  1.027E-01  1.917E-02  1.362E-02  -2.678E-02  1.657E-02  -4.173E-02  5.339E-03  3.412E-03  -6.545E-02
  120   1.0476  3.83E-04 6.374E-04 6.657E-03 6.488E-10 6.328E-06 3.570E-02 1.154E-01 1.602E-01 4.060E-01 1.756E+03 8.100E+00 6.52E-08 1.106E-15 -1.532E-15 4.583E-15 1.148E-13  7.314E-02  1.193E-01  9.055E-02  1.019E-01  1.824E-02  1.828E-02  -3.649E-02  1.945E-02  -4.334E-02  9.830E-03  6.066E-03  -6.565E-02
  140   1.0553  3.86E-04 6.732E-04 6.573E-03 6.399E-10 6.584E-06 3.669E-02 1.147E-01 1.578E-01 3.810E-01 1.698E+03 7.503E+00 6.43E-08 1.442E-16 -1.476E-15 -4.081E-14 -6.141E-14  9.439E-02  1.056E-01  5.714E-02  1.034E-01  7.643E-03  1.360E-02  -3.151E-02  1.053E-02  -3.373E-02  1.634E-02  9.461E-03  -7.054E-02
  160   1.0630  3.84E-04 7.029E-04 6.497E-03 6.428E-10 6.852E-06 3.749E-02 1.140E-01 1.671E-01 4.056E-01 1.647E+03 7.017E+00 6.46E-08 5.534E-16 -8.063E-16 4.797E-15 8.173E-14  9.772E-02  9.838E-02  4.219E-02  9.715E-02  -1.506E-02  1.244E-02  -3.114E-02  7.999E-03  -1.674E-02  1.372E-02  -4.269E-03  -7.239E-02
  180   1.0707  3.83E-04 7.277E-04 6.429E-03 6.433E-10 7.135E-06 3.814E-02 1.134E-01 1.688E-01 3.936E-01 1.603E+03 6.620E+00 6.47E-08 1.890E-15 -3.159E-16 -5.787E-14 -5.229E-14  9.353E-02  1.007E-01  2.487E-02  9.179E-02  -2.770E-02  1.237E-02  -2.777E-02  1.137E-02  -6.051E-03  1.417E-02  -1.168E-02  -6.932E-02
