 -0.885000000000000     
  3.468597-130  3.515497-130  3.424437-130  3.431706-130  3.445313-130  3.379825-130  3.373646-130  3.277186-130
  3.295375-130  3.346493-130  3.213438-130  3.233219-130  3.122850-130  3.178307-130  3.062001-130  3.013323-130
  3.015330-130  2.933771-130  2.942262-130  2.834852-130  2.833600-130  2.766756-130  2.685286-130  2.667154-130
  2.616540-130  2.595083-130  2.521375-130  2.474433-130  2.424612-130  2.404864-130  2.355444-130  2.296915-130
  2.271373-130  2.226751-130  2.206489-130  2.141435-130  2.118646-130  2.084156-130  2.042141-130  2.000591-130
  1.995965-130  1.964680-130  1.963286-130  1.898673-130  1.889507-130  1.871651-130  1.852213-130  1.840397-130
  1.784202-130  1.828779-130  1.779047-130  1.771887-130  1.776286-130  1.784025-130  1.762105-130  1.755038-130
  1.765084-130  1.780122-130  1.776509-130  1.761451-130  1.787063-130  1.811714-130  1.802791-130  1.800633-130
  1.844531-130  1.855924-130  1.874278-130  1.886368-130  1.907429-130  1.952919-130  1.947782-130  1.974120-130
 -0.845000000000000     
  6.847739-126  7.538964-130  2.437058-129  3.781534-129  8.807456-129  1.379110-128  1.697967-128  2.158590-128
  2.836304-128  4.118721-128  4.531294-128  5.038216-128  6.288909-128  7.208682-128  8.161038-128  8.462881-128
  1.077405-127  1.160273-127  1.258131-127  1.318814-127  1.493532-127  1.627078-127  1.657640-127  1.767609-127
  1.864219-127  2.061840-127  2.132564-127  2.156403-127  2.344120-127  2.423698-127  2.475548-127  2.623921-127
  2.622969-127  2.789905-127  2.876156-127  2.873853-127  3.022251-127  3.026452-127  3.110041-127  3.084515-127
  3.224933-127  3.282054-127  3.243823-127  3.324191-127  3.285334-127  3.439842-127  3.286755-127  3.338419-127
  3.412741-127  3.424143-127  3.394897-127  3.296723-127  3.385036-127  3.335712-127  3.297178-127  3.264257-127
  3.243013-127  3.268186-127  3.155216-127  3.139578-127  3.130379-127  3.051981-127  3.018316-127  2.904374-127
  2.909465-127  2.920713-127  2.790583-127  2.786197-127  2.668470-127  2.691360-127  2.578641-127  2.511834-127
  2.497876-127  2.409584-127  2.400912-127  2.291490-127  2.274535-127  2.208056-127  2.124689-127  2.097358-127
  2.045234-127  2.013646-127  1.944048-127  1.894241-127  1.849407-127  1.825190-127  1.776307-127  1.722208-127
  1.699419-127  1.655881-127  1.634397-127  1.581549-127  1.558445-127  1.529211-127  1.499978-127  1.463961-127
  1.459136-127  1.434236-127  1.435948-127  1.387631-127  1.380445-127  1.370451-127  1.357518-127  1.352366-127
  1.314994-127  1.346810-127  1.317311-127  1.309984-127  1.321088-127  1.330346-127  1.317557-127  1.318675-127
  1.329904-127  1.345499-127  1.348546-127  1.340286-127  1.364016-127  1.386488-127  1.383962-127  1.381536-127
  1.421535-127  1.431407-127  1.447557-127  1.458494-127  1.479603-127  1.511737-127  1.508349-127  1.531450-127
 -0.835000000000000     
  3.988312-123  6.026420-127  2.027634-126  3.091675-126  7.158857-126  1.120259-125  1.401871-125  1.756317-125
  2.305725-125  3.364309-125  3.668680-125  4.069838-125  5.097778-125  5.814623-125  6.559533-125  6.747237-125
  8.618939-125  9.192477-125  9.933354-125  1.042281-124  1.171469-124  1.271476-124  1.293536-124  1.374610-124
  1.446326-124  1.589615-124  1.638590-124  1.649511-124  1.780864-124  1.836870-124  1.857896-124  1.962033-124
  1.960582-124  2.069897-124  2.120347-124  2.102763-124  2.203361-124  2.196832-124  2.242350-124  2.213013-124
  2.298389-124  2.327840-124  2.283179-124  2.325929-124  2.280186-124  2.376350-124  2.255032-124  2.276916-124
  2.310978-124  2.300262-124  2.266274-124  2.182601-124  2.226276-124  2.180305-124  2.137067-124  2.099811-124
  2.071283-124  2.075084-124  1.985642-124  1.959542-124  1.942668-124  1.880946-124  1.845035-124  1.759068-124
  1.754687-124  1.742904-124  1.656272-124  1.643184-124  1.560519-124  1.561239-124  1.488430-124  1.438972-124
  1.423658-124  1.362754-124  1.351580-124  1.281246-124  1.264634-124  1.224133-124  1.170710-124  1.152982-124
  1.120916-124  1.099451-124  1.059731-124  1.027292-124  1.002383-124  9.889213-125  9.605874-125  9.317564-125
  9.205983-125  8.962143-125  8.868504-125  8.601123-125  8.481407-125  8.349715-125  8.234818-125  8.054406-125
  8.071253-125  7.956925-125  8.018080-125  7.786471-125  7.773934-125  7.763745-125  7.734675-125  7.737772-125
  7.581125-125  7.782517-125  7.662119-125  7.626871-125  7.730837-125  7.822825-125  7.772449-125  7.807117-125
  7.894950-125  8.001702-125  8.045445-125  8.007611-125  8.160831-125  8.297283-125  8.283617-125  8.267030-125
  8.502330-125  8.547063-125  8.630139-125  8.685730-125  8.809425-125  8.955984-125  8.910806-125  9.049349-125
 -0.825000000000000     
  1.742044-120  3.554028-124  1.206043-123  1.805035-123  4.149961-123  6.488123-123  8.238592-123  1.021949-122
  1.334887-122  1.957155-122  2.111381-122  2.346282-122  2.941909-122  3.343258-122  3.747559-122  3.830464-122
  4.886566-122  5.184835-122  5.575932-122  5.843855-122  6.513054-122  7.040494-122  7.147301-122  7.564886-122
  7.939981-122  8.668935-122  8.893370-122  8.909487-122  9.552583-122  9.815796-122  9.837808-122  1.033636-121
  1.030677-121  1.080890-121  1.099416-121  1.081797-121  1.126968-121  1.117862-121  1.133792-121  1.112418-121
  1.146820-121  1.154902-121  1.123923-121  1.137225-121  1.105907-121  1.145584-121  1.079858-121  1.082442-121
  1.090722-121  1.075902-121  1.053680-121  1.006882-121  1.019449-121  9.917912-122  9.637480-122  9.398993-122
  9.205081-122  9.164956-122  8.695711-122  8.510081-122  8.395309-122  8.072795-122  7.863454-122  7.436644-122
  7.383436-122  7.274069-122  6.873693-122  6.790252-122  6.404658-122  6.366902-122  6.048637-122  5.824106-122
  5.743659-122  5.469124-122  5.413059-122  5.118703-122  5.039832-122  4.882247-122  4.658930-122  4.599551-122
  4.475142-122  4.396682-122  4.253397-122  4.120335-122  4.032166-122  3.996195-122  3.894581-122  3.802115-122
  3.771959-122  3.691810-122  3.677798-122  3.588454-122  3.559648-122  3.524197-122  3.502033-122  3.444055-122
  3.477248-122  3.444624-122  3.495529-122  3.416888-122  3.420563-122  3.435700-122  3.441651-122  3.448841-122
  3.397610-122  3.491838-122  3.451988-122  3.433218-122  3.481136-122  3.530077-122  3.507033-122  3.520600-122
  3.556797-122  3.597025-122  3.615251-122  3.589481-122  3.647682-122  3.695627-122  3.674919-122  3.656120-122
  3.741865-122  3.743548-122  3.760688-122  3.769051-122  3.805477-122  3.844226-122  3.801277-122  3.848236-122
 -0.815000000000000     
  5.737015-118  1.551704-121  5.210295-121  7.631363-121  1.751605-120  2.733896-120  3.506989-120  4.331614-120
  5.609756-120  8.267148-120  8.829807-120  9.832412-120  1.232481-119  1.396406-119  1.553620-119  1.581774-119
  2.006468-119  2.125027-119  2.273719-119  2.373897-119  2.625158-119  2.826891-119  2.860627-119  3.014035-119
  3.152928-119  3.423154-119  3.489723-119  3.480060-119  3.702606-119  3.785691-119  3.765709-119  3.931439-119
  3.907238-119  4.070355-119  4.110261-119  4.013773-119  4.150542-119  4.091800-119  4.126185-119  4.021505-119
  4.113819-119  4.115433-119  3.973613-119  3.992214-119  3.850854-119  3.961605-119  3.710400-119  3.689285-119
  3.689972-119  3.606865-119  3.512332-119  3.331529-119  3.348352-119  3.234283-119  3.117536-119  3.018317-119
  2.936554-119  2.906379-119  2.736789-119  2.658962-119  2.612737-119  2.496964-119  2.419470-119  2.274286-119
  2.249117-119  2.204799-119  2.074368-119  2.046170-119  1.923292-119  1.905776-119  1.808730-119  1.742082-119
  1.717791-119  1.634054-119  1.619957-119  1.536622-119  1.515433-119  1.475627-119  1.411494-119  1.403075-119
  1.371694-119  1.356696-119  1.323088-119  1.287385-119  1.266800-119  1.264768-119  1.241488-119  1.222682-119
  1.219106-119  1.203567-119  1.207449-119  1.184961-119  1.184689-119  1.177837-119  1.176971-119  1.162671-119
  1.179293-119  1.172481-119  1.193408-119  1.171580-119  1.171798-119  1.179405-119  1.183485-119  1.183509-119
  1.165675-119  1.195730-119  1.182132-119  1.171168-119  1.182238-119  1.196482-119  1.183963-119  1.183153-119
  1.189858-119  1.196512-119  1.197949-119  1.182394-119  1.194376-119  1.201655-119  1.186819-119  1.173518-119
  1.192236-119  1.184151-119  1.180566-119  1.175692-119  1.177409-119  1.181502-119  1.158857-119  1.165793-119
 -0.805000000000000     
  1.444358-115  5.077308-119  1.668933-118  2.390289-118  5.508703-118  8.573154-118  1.105902-117  1.366516-117
  1.751146-117  2.593281-117  2.746900-117  3.059850-117  3.833569-117  4.330813-117  4.784114-117  4.858410-117
  6.110625-117  6.472495-117  6.889761-117  7.152070-117  7.854758-117  8.430695-117  8.494713-117  8.906768-117
